index,phi,final_loss
0,-0.6888859352843001,0.007646104689832404
1,-0.03479507463538174,
2,1.1151818344667552,
3,-0.27775622669783157,
4,-1.2617487588677951,
5,-0.2399655769406139,
6,0.06580584640685819,
7,7.190458904518123e-09,
8,0.2014684039182454,
9,-0.1021865294672525,
10,1.0906564963452003,
11,-0.8780457122020071,
12,0.29794273944530786,
13,-0.32882099496557904,
14,-0.02203843779959596,
15,-0.5040972733630722,
16,-0.06723869117556046,
17,-1.2162064695381216,
18,-0.5187512619763506,
19,-0.06952100562270586,
20,-1.9205044978559451,
21,0.40504802040166615,
22,-1.502080994225764e-09,
23,-3.0262947265084674e-09,
24,-2.074881463736653e-09,
25,-4.3443564203443055e-08,
26,4.4850022446424746e-08,
27,-2.1402197037722783e-08,
28,2.6755840377757074e-09,
29,0.4597143629210392,
30,-0.007236204383509792,
31,5.75177356627977e-08,
32,0.28085116717449815,
33,-3.28753900374609e-09,
34,1.504534611318394,
35,2.4782719980300834,
36,-0.16393648304889524,
37,0.03305191674081718,
38,-0.011368685643763296,
39,0.4222264228834601,
40,-3.5364624936022704e-10,
41,-1.2101678616538998e-08,
42,6.779499813786684e-08,
43,-6.5056312672292155e-09,
44,-0.11907880136557664,
45,-0.23422213515002813,
46,-0.5970705639488276,
47,-1.0324896941801526e-08,
48,-1.2566643051663382,
49,-2.51796413800005e-09,
50,-2.845951534438938e-09,
51,1.946799388372025e-08,
52,-2.6780837687436222e-09,
53,1.2545633496850552,
54,9.501643906132626e-09,
55,0.08426698320905689,
56,0.8156547502312396,
57,0.22099903905532292,
58,1.227597722723323e-09,
59,0.9734770340399064,
60,-0.804926903354902,
61,0.18234817652440022,
62,-0.502509799755291,
63,-0.19195712506385368,
64,-1.646367949020029,
65,0.33807970583525515,
66,0.7192453828787875,
67,-0.015158673950514779,
68,-0.2757648004897414,
69,-0.27132986456078445,
70,6.1758007603443365e-09,
