index,phi,final_loss
0,-0.33341016466353623,0.0034675807404020882
1,0.006004046501055144,
2,-0.5155153151761798,
3,0.5542880515336024,
4,-0.3873036131074545,
5,-0.060478737279491726,
6,0.037693600342927076,
7,0.011838091334860886,
8,-1.829667940787571,
9,-0.3019372654789147,
10,0.28187675055584166,
11,-0.3063771133610995,
12,0.7999897494563523,
13,-0.19381892467322825,
14,0.174869045774565,
15,-0.017554597323178704,
16,0.8251985091527779,
17,0.01871335343081581,
18,-0.09913928693662577,
19,1.0188913615923366e-08,
20,-0.9431544477152952,
21,0.061340010991600524,
22,-0.8113356559816169,
23,0.07685219267371525,
24,-1.0514236340975276,
25,-1.651872375461168e-09,
26,-0.23600243252840478,
27,-1.9397114664234645,
28,-5.016139598629333e-10,
29,6.618095446291843e-08,
30,8.690781244342965e-09,
31,-6.742568402091645e-10,
32,-1.4361480753589555e-09,
33,2.28899240912127e-09,
34,3.811599489012948e-08,
35,2.3203369123618156,
36,0.16832770883327808,
37,0.22648346525401603,
38,-0.8955564372543476,
39,-0.011029937008362224,
40,-0.03811852853952165,
41,-0.9602955753665641,
42,-0.8987081788554194,
43,-3.935027245345589e-09,
44,-1.2216565311372205,
45,5.892340877484481e-09,
46,-1.876737495330405e-09,
47,-3.2893974901073704e-10,
48,-1.962935686706831e-10,
49,-5.965834280932246e-09,
50,0.24635333324142672,
51,-0.6316272628401204,
52,0.6029257425734743,
53,-0.03925496079555339,
54,1.088859830033575e-08,
55,-6.122064693729105e-09,
56,0.21435589217878315,
57,0.5307621661283856,
58,-0.3531328019282225,
59,5.37872241922325e-08,
60,1.7060338862115843e-09,
61,-0.2142225368872493,
62,2.1791597947676564,
63,0.8892743612728976,
64,8.24838940833873e-11,
65,0.7175370774343347,
66,0.0793871177525657,
67,7.767417149053593e-05,
68,0.21167803722314665,
69,-1.036929082692644e-09,
70,-0.0070486858901085536,
