index,phi,final_loss
0,3.2234646511131084e-08,0.036087294789446334
1,0.09422098754174661,
2,-0.09698623514850187,
3,0.21927717394502635,
4,-0.12280916868138354,
5,0.5680845733559376,
6,-0.27063912950135527,
7,-5.9074658951381665e-09,
8,-1.5456826319821118,
9,0.09211212183045521,
10,4.255080314069472e-08,
11,-0.4949434281282676,
12,-0.13628624692724917,
13,-3.41941287591344e-10,
14,8.638211284160246e-10,
15,0.21300697182203113,
16,1.4938852345848783,
17,0.11296472808262202,
18,3.2040227537585154e-08,
19,3.40103441223847e-08,
20,-2.2727385679222805e-09,
21,-4.367363619971829e-08,
22,-4.296578361406828e-08,
23,-0.169970263411189,
24,6.909485658721665e-08,
25,-0.42770065902445364,
26,0.2151836850871541,
27,-1.2397239490423646,
28,0.06718008806755521,
29,-2.448242369181928e-07,
30,6.1922276637077094e-09,
31,1.5878572171652955e-07,
32,-7.359741135882782e-08,
33,3.044749008324066e-08,
34,-2.823640948261091e-10,
35,2.6242941136852527,
36,3.863270704620374e-09,
37,0.11414118222309218,
38,-1.2337755204840832e-09,
39,0.12527673262545225,
40,6.758105009748895e-09,
41,-3.2106161499818894e-08,
42,8.712055128282193e-09,
43,-0.9023119506635662,
44,-0.5890633632393715,
45,-0.28866296048442586,
46,0.08915941249259181,
47,-0.3456798200697106,
48,0.049680915423068114,
49,-0.07987298755053211,
50,-0.06858738034741033,
51,-0.9763503549726557,
52,1.2031306998180515,
53,1.349725329187321e-09,
54,-2.8894413265169944e-08,
55,-5.2795375675891814e-08,
56,-0.45844613923534505,
57,3.954305776982515e-08,
58,-0.10539863604026195,
59,-0.42987904622782036,
60,-1.6351079471089154,
61,-8.408398861747682e-08,
62,-0.11672307731685613,
63,-8.285103722047977e-09,
64,-6.908764092436075e-09,
65,9.762852639446755e-09,
66,1.8093418150644083e-07,
67,9.064315220851075e-09,
68,1.7106622210474642e-08,
69,-1.0719053034449273e-09,
70,2.6986767034215315e-09,
