index,phi,final_loss
0,-0.012233608182010271,0.013266284222080076
1,-0.2750761037696541,
2,-0.8387684789843164,
3,2.0886444465171918e-08,
4,-1.1659741222621693,
5,-0.1637729756195065,
6,-0.0004891214142229897,
7,0.16345719480664211,
8,-1.4845033052135832,
9,-0.5880869589587394,
10,0.1856710998749646,
11,-0.6335276151698606,
12,1.661072246771182,
13,0.10902826910958646,
14,0.3763960295880532,
15,1.192904148537123e-08,
16,-0.1658035255075447,
17,0.0644438413429716,
18,-0.4352083363745306,
19,0.3988469789007522,
20,-0.743209250190099,
21,-0.14394899200968178,
22,-0.13205711165028747,
23,2.6436576388608484e-09,
24,2.816125057802281e-09,
25,-1.823575608327627e-08,
26,0.12764912025679642,
27,-1.636043612894423,
28,0.03768642829636424,
29,3.423148020743529e-07,
30,-1.1375038472846353e-09,
31,-9.899678811230639e-09,
32,3.5170745607775454e-08,
33,0.8936006218832788,
34,0.9172172813794431,
35,-2.2711025699293446e-08,
36,-2.9697881167255355e-09,
37,-1.1771320255793262e-08,
38,-4.74835243458125e-08,
39,6.655412403926767e-08,
40,-1.3799391163573362e-07,
41,-2.0795301271818323,
42,-5.3443086467183436e-08,
43,-1.5790236171504416e-08,
44,-8.475828232292379e-09,
45,0.31686550750465436,
46,-0.4470997590315715,
47,5.5146301354191695e-09,
48,-0.9158629310536973,
49,0.6390984193460842,
50,-6.355430608711106e-10,
51,0.20816491389283115,
52,-0.004290776565517418,
53,-3.282842963459089e-08,
54,5.28815805943424e-06,
55,-1.0100639154787872e-08,
56,-5.6408891142630714e-08,
57,-4.535814216883738e-08,
58,-1.569588002028095,
59,0.035054097420046844,
60,-0.6436846268396985,
61,-1.0851881095989456e-08,
62,1.6790809554212014,
63,-0.1879931687039379,
64,0.3580963228728346,
65,0.5894635551970965,
66,1.3306278618075669,
67,-0.07872357965979691,
68,0.18233436467751343,
69,9.361297018839534e-09,
70,-2.2775106055731355e-07,
