index,phi,final_loss
0,0.42948748371520606,0.013548587469767653
1,-0.3631363490697606,
2,0.007261271981018642,
3,-0.2737858609377865,
4,-1.2363987328447763,
5,0.28399978286871075,
6,-0.06737565157918059,
7,-3.4103419244722296e-09,
8,-1.761127869686739,
9,-0.6212947820289295,
10,0.2994164719396383,
11,-0.11592135163962589,
12,1.4709677268587225,
13,-0.7321810032057228,
14,5.2481341791160626e-09,
15,-0.41776425007958506,
16,-0.1872935043496859,
17,0.3647523571899155,
18,-0.5474777516651853,
19,-0.00027348213764339654,
20,-0.5441132378536698,
21,-0.20800609918497961,
22,1.0022317079376443e-09,
23,4.250325504554097e-10,
24,0.296385947970093,
25,0.00038134201429316594,
26,1.4449900900633519,
27,1.1037757417121396e-07,
28,1.351771248971067,
29,0.334157773580732,
30,-2.031895872949668,
31,-7.246446013677692e-08,
32,-5.275013039371292e-09,
33,4.323334772811896e-08,
34,2.002004048815708e-09,
35,-2.9015596733495374e-08,
36,-1.5867075764560612,
37,-4.056172417383046e-09,
38,-5.41720748346462e-09,
39,6.870401885477713e-09,
40,5.2941470351756e-08,
41,-0.7132167145475798,
42,7.019839506196137e-08,
43,-7.919236655833122e-09,
44,1.977597316016026e-08,
45,2.2751710382766246e-08,
46,-3.7935226065850334e-08,
47,1.3794619771671501e-08,
48,-1.499615386153377,
49,0.05476115129334056,
50,-0.738133248946211,
51,4.333693315390619e-09,
52,-4.721986183392644e-08,
53,-0.12473510759502256,
54,3.1462566344033594e-09,
55,-1.2419790318770984e-08,
56,1.9911958044109995e-08,
57,0.12184683145696126,
58,-0.6386991067695977,
59,0.12211851180732763,
60,-0.1816378939156138,
61,1.547127958238492,
62,0.7555195424516533,
63,0.5809569137290311,
64,-1.6198222955518176e-08,
65,0.39331633854422204,
66,1.4942232708732601,
67,-0.6124019204798837,
68,0.006575898488333737,
69,0.2705730902917808,
70,0.3720927003176846,
