index,phi,final_loss
0,-0.28125653326744215,0.007031793809554109
1,-1.9142319222614277e-08,
2,-1.8597644832884122e-09,
3,-0.05093262033926593,
4,0.10459546003796046,
5,-1.589396775699081e-08,
6,-0.15866267110757706,
7,0.3684618885833444,
8,-1.718682885521247,
9,0.34613520978069273,
10,1.2953707341156746,
11,0.21567356084451758,
12,1.1914382356141642,
13,7.775024653071666e-09,
14,9.759364122976383e-09,
15,0.24757461074456166,
16,-0.09030895081438398,
17,0.34881318931994865,
18,-1.1804409233005702,
19,-0.45815052613460794,
20,-0.4139884318155951,
21,-0.3809703741583758,
22,0.4779303894607778,
23,-1.2567854392552278,
24,9.248516023516295e-09,
25,1.7323255643627144e-08,
26,6.503530957448264e-08,
27,-1.347107354166026,
28,7.728375074626478e-08,
29,-1.532348172763707e-08,
30,-9.17423817644483e-09,
31,5.333174263564446e-09,
32,-9.45913118382871e-09,
33,3.0202398844052016e-08,
34,1.3299426781972037e-09,
35,1.9139853905775939,
36,0.002681486116340808,
37,0.656648569355341,
38,-1.678634422293627,
39,-6.152175979491863e-09,
40,1.7617591929717476e-08,
41,0.28642084980333854,
42,-1.1550498685139319e-09,
43,0.8764761542705986,
44,8.010473655577676e-08,
45,-0.10951037293568222,
46,-3.837362470484948e-09,
47,1.578233424102279e-09,
48,-1.1504345720533364,
49,0.1289623309177745,
50,-4.716145652046884e-09,
51,0.49755929425588064,
52,-2.4488106956724534e-09,
53,6.75482321910356e-09,
54,0.020646933257164993,
55,-4.8940800384473354e-08,
56,1.2346850051291158e-09,
57,-0.11212714025152952,
58,-1.7176886437977141,
59,-0.04349114749480538,
60,-0.6616299223874534,
61,-3.3581647018864865e-09,
62,8.705836197753014e-11,
63,-0.16460307736144042,
64,-2.337301808342385,
65,-0.10160803740808158,
66,0.06764840662060023,
67,-0.08923261869275019,
68,-0.07204507224197036,
69,-0.4406885975172789,
70,-0.30281335012336263,
