index,phi,final_loss
0,0.17205851022888477,0.0013420372955950978
1,0.5800290391582549,
2,-0.18857773356980295,
3,1.1024542875548378,
4,-1.9714617368065783,
5,-0.10239092486039883,
6,-0.14687135687851915,
7,0.03130845623018055,
8,0.06796125996835543,
9,-0.00599828356843209,
10,-2.06796613180049e-09,
11,0.07863917401386057,
12,1.4919146953714035,
13,-6.058703618223127e-05,
14,0.8940710509463066,
15,-0.07501293440106646,
16,0.13228690376225172,
17,-0.6078772647440132,
18,-8.638108290756907e-10,
19,2.32043769648708e-11,
20,-0.07582090046472287,
21,0.3040974129374669,
22,-3.634323230762917e-10,
23,1.9278493684868578,
24,0.01165280062884431,
25,0.2054257592532681,
26,1.1095881278761588,
27,-0.19180803769398946,
28,0.054407376436949734,
29,0.2691293126096198,
30,1.935206626409434,
31,-1.4539647933533954e-10,
32,-1.2656199666714434e-08,
33,-8.429286885596613e-09,
34,2.1879216861006788e-09,
35,0.1587700341463304,
36,-0.1519757156839791,
37,-9.806830490887914e-09,
38,-2.0679366844326874,
39,0.6517531031254917,
40,-4.89597760892687e-08,
41,-7.467860806873318e-09,
42,8.487747812597564e-09,
43,-3.854372138582153e-09,
44,-0.5765817292004527,
45,-0.14513356333253602,
46,1.0379311082682778e-08,
47,-5.790477767681157e-11,
48,0.015430688819214484,
49,1.8306118458011942,
50,-0.4952027881955536,
51,-0.044008260930846796,
52,-0.9100567248348947,
53,-0.0003255258442003142,
54,-0.43096403399920674,
55,-0.2097374881066365,
56,-0.5922230449603996,
57,-0.23696562307476857,
58,-1.9516135818559874,
59,-0.054350337170444914,
60,-0.7176355924238857,
61,-0.09458918889422802,
62,-0.40502225078354287,
63,-0.2370202207778086,
64,-0.07588415094266678,
65,-0.8845955425706471,
66,1.186508833659621,
67,0.6740811912099219,
68,-0.47303085140672135,
69,-1.76226349796248e-09,
70,0.07029111094559991,
