index,phi,final_loss
0,6.244644326399355e-07,0.6491110564293485
1,0.1883569690679607,
2,-0.23798966328435717,
3,-0.13005511891561425,
4,-1.0250312462201403,
5,2.4920320766418804e-07,
6,-5.247392431231342e-09,
7,-4.160358710384396e-09,
8,-1.0877816234492708,
9,-1.1539058772082786e-08,
10,7.000277516661879e-08,
11,3.616810614486578e-07,
12,1.3660386423373903,
13,0.1701826653295556,
14,1.0115359272423293e-07,
15,-1.7646634331407932e-08,
16,5.980888020223415e-08,
17,-0.2619136038121605,
18,-0.37441366130442844,
19,0.608835078895257,
20,-0.42701348290847135,
21,-3.553173015930129e-08,
22,-1.3963032919882622e-08,
23,0.0074685191854318815,
24,0.00010759414159479207,
25,2.6309091411361705e-10,
26,-0.005612035705183133,
27,-0.07752120743895073,
28,-1.8552915844804152e-09,
29,-1.039319553723006e-07,
30,6.559894819801466e-08,
31,3.722767867185195e-09,
32,1.4508859500563617e-08,
33,0.3209361032176487,
34,2.1030021927516165,
35,3.016209978041646e-08,
36,7.940060053308471e-09,
37,0.4348720580044968,
38,-3.852507245952809e-07,
39,0.390895424759671,
40,1.1622442311883166e-09,
41,-1.506781215177222e-08,
42,-3.141971545858401e-08,
43,-0.00011063652520652569,
44,0.6134080987050864,
45,-4.62186801979147e-10,
46,9.958161758039306e-08,
47,-1.7609171740319625e-07,
48,-9.659358376264179e-08,
49,1.4845767814555254e-07,
50,-7.3127120304612535e-09,
51,-0.20219084286711328,
52,0.01153374527865281,
53,0.048256518507988545,
54,-0.28028123672002614,
55,2.7069261544226545e-07,
56,-2.851049573335767e-09,
57,-0.03741380491916943,
58,-1.6413083928348722,
59,0.009013914011944851,
60,-0.716128864638221,
61,-0.04744415345500334,
62,0.4092852982038451,
63,-0.00823310704141896,
64,-7.70371270291313e-09,
65,-2.601750181278197e-08,
66,1.1662839104362823,
67,-6.237771468672424e-07,
68,1.2169870370002678e-08,
69,-9.51935365712986e-09,
70,-1.6646551097482096e-08,
