K,N,Delta_0 (MHz),sigma/Delta_0,trial,Gate Fidelity
30,4,50,0.05,4,0.7086068831229179
30,6,100,0.05,2,0.42848175630662605
30,6,150,0.02,4,0.5594764684747527
100,4,50,0.1,2,0.7274271532620215
30,2,100,0.05,1,0.5400906597374344
50,4,50,0.1,4,0.5575683213128366
70,6,150,0.1,2,0.5787693757907839
30,4,50,0.05,1,0.5110000438988257
50,4,100,0.05,3,0.4880201411222935
30,2,100,0.05,2,0.6747862753329741
70,2,150,0.02,4,0.9614682630036813
30,4,150,0.05,4,0.5460269672567518
30,2,100,0.1,2,0.47356137255021985
70,4,100,0.05,2,0.6558874063227913
70,2,150,0.02,3,0.8488085783074826
30,6,150,0.02,2,0.4303052915842864
30,2,50,0.02,3,0.4550460499687909
100,2,150,0.02,2,0.8492612149462979
100,6,150,0.05,3,0.49235087358015517
50,6,50,0.02,3,0.4671806252610171
70,6,50,0.05,3,0.5474615605902967
70,4,150,0.1,2,0.621505129155699
70,6,100,0.1,2,0.5096967067118576
30,2,150,0.02,3,0.7609441317166769
70,6,50,0.05,1,0.6926690047738234
30,6,150,0.1,3,0.4992627454577434
50,6,100,0.1,2,0.5090837664386214
50,6,100,0.02,3,0.4952629382209261
100,4,150,0.02,4,0.860285673624932
100,4,150,0.1,2,0.6079789101144805
50,6,50,0.02,4,0.46560323178505286
30,2,150,0.1,3,0.7388832860201056
100,6,150,0.02,1,0.7154710404168295
70,2,50,0.1,4,0.6667735141281921
30,2,150,0.1,1,0.7291778005351534
70,2,50,0.05,3,0.8596032256567505
50,4,100,0.1,4,0.4709546085999211
50,6,50,0.1,2,0.5125606556297368
100,6,50,0.05,4,0.5023726484958795
70,6,100,0.1,3,0.4506455661922978
30,6,50,0.02,4,0.5404648820452357
50,2,100,0.1,3,0.512263708399254
100,4,50,0.02,3,0.9007915538398761
30,2,150,0.1,4,0.8073806648876418
70,6,150,0.02,3,0.6173601493004796
50,2,50,0.1,2,0.3715005169208682
100,6,100,0.1,1,0.52196761286226
70,4,100,0.02,2,0.4639138577605204
100,6,150,0.02,2,0.5552167762515501
50,4,50,0.1,3,0.45695851576451885
30,4,150,0.1,3,0.6726126230548802
100,2,150,0.1,3,0.7597530293818311
30,4,50,0.1,3,0.5118667896015042
70,2,150,0.05,1,0.8451054960051261
50,6,100,0.02,2,0.5954122984668428
30,4,50,0.02,1,0.7590376000889132
100,6,50,0.05,3,0.6700100142378771
50,6,100,0.1,4,0.5343577433618015
100,4,100,0.02,3,0.8701308403301828
100,4,50,0.02,1,0.9240415835900546
70,4,150,0.02,4,0.7032669085416132
50,2,100,0.05,4,0.7745896148741453
50,6,150,0.1,3,0.4157239267205164
70,2,100,0.1,4,0.6828491682041451
100,6,100,0.05,1,0.615668506980914
50,6,50,0.02,2,0.4146257828398984
100,4,50,0.05,1,0.8223054956055363
