K,N,Delta_0 (MHz),sigma/Delta_0,trial,Gate Fidelity,min_distance
30,6,150,0.05,2,0.5020272462112773,65.26849865483803
70,4,100,0.05,1,0.5301293859783359,11.641363254439902
100,4,150,0.05,4,0.8481641930418184,56.60340998486464
30,6,100,0.05,1,0.6842043279459034,16.747594698995783
30,6,150,0.1,1,0.4531162364065115,3.0606658235023474
70,2,50,0.05,1,0.7560316173174882,16.876938579255217
30,4,100,0.1,3,0.4904558806122266,99.14504969552311
30,6,50,0.05,3,0.5523315256729429,11.244433669448256
70,4,50,0.02,1,0.5426391498149351,9.214014101317748
50,2,100,0.1,2,0.8585493452292953,40.3404958165828
70,2,150,0.02,2,0.9097061688031776,120.06548515046931
50,4,150,0.02,4,0.6355852892724987,14.846938877808327
70,2,100,0.05,2,0.8039706089132453,34.976451994487235
70,2,100,0.05,3,0.8402098297986187,41.87947586358416
70,4,50,0.1,2,0.5520491022829974,31.333295052162974
100,6,100,0.02,4,0.7707143543008779,10.003802139468434
50,2,100,0.05,2,0.7990312943680556,28.74772372854568
100,6,100,0.02,2,0.7435068335868597,29.37427287221996
70,4,150,0.1,3,0.5036397735568335,16.0281955761547
70,6,100,0.05,1,0.5559932193413678,7.651926483401596
50,2,50,0.02,2,0.6775069485054072,4.817711797911521
50,2,50,0.05,2,0.8274989237547888,8.224630237776502
70,2,100,0.1,3,0.5926936718946787,22.969980412495914
30,2,50,0.05,3,0.58653152381467,10.960561177683601
50,2,100,0.05,3,0.7503044153458924,87.99389737043535
30,6,100,0.1,4,0.497608646017868,1.4429544738130886
50,6,150,0.02,1,0.6472421853898918,40.79058653481853
30,4,150,0.1,2,0.5822901708027802,25.985498014258948
50,4,150,0.1,2,0.5513319191928948,54.129968016235836
100,2,50,0.02,1,0.8362510517999757,69.15751715576232
50,2,150,0.1,2,0.4684257632029328,15.262129863302789
50,2,150,0.1,4,0.7061579596443585,71.5007498529927
50,2,50,0.1,4,0.5309194538546265,33.378593037739265
100,6,50,0.1,4,0.512650347654805,37.71730805829658
70,4,100,0.1,1,0.5275440123329969,7.096167585383782
30,2,50,0.05,4,0.6222419079895793,22.439095173364663
30,4,150,0.1,4,0.443417739130865,0.9090764244221248
100,4,150,0.1,1,0.6704839970323438,15.061262938997913
70,6,100,0.02,3,0.6592228642111615,20.804080288888002
70,6,150,0.02,1,0.7237655626466076,35.423060938543784
50,4,50,0.05,3,0.598216653722964,7.016344066150971
100,2,50,0.05,3,0.8605622476028146,60.2050834713672
70,4,150,0.1,1,0.554283357956846,94.18877020395908
30,4,150,0.05,2,0.6275572633156028,35.604199127214315
100,2,50,0.1,4,0.7861136985984758,64.74690247691034
70,6,150,0.1,3,0.5212198005298238,23.446395046070734
100,6,100,0.1,3,0.580104889552655,29.757492143441866
100,2,50,0.02,3,0.7851658388965933,1.79240487441826
100,2,100,0.05,1,0.9256890528752588,22.66986543878221
100,2,50,0.1,2,0.8753127343888462,5.7744645758012325
100,2,150,0.1,2,0.8784443493109073,44.246774709338084
30,2,150,0.1,2,0.6784120346615798,35.179879706341154
30,2,100,0.05,3,0.8193654206424139,20.169349766083045
70,2,50,0.02,2,0.9286981813436764,8.425857683751758
30,2,150,0.05,1,0.8262275963287705,87.6352044936252
70,2,50,0.1,1,0.567607902750829,60.857519453013126
50,2,50,0.05,4,0.6351425667036422,57.74616751047564
50,2,100,0.02,3,0.7206652576461323,26.08787491287069
100,6,50,0.05,2,0.6011994265964522,15.703648475708789
100,6,150,0.05,1,0.6498693990486936,20.490724405034314
30,2,50,0.1,2,0.5633886336630042,28.528867123953383
100,4,100,0.02,4,0.8139671358539716,14.693453395923072
30,6,50,0.1,1,0.4677217036936298,26.731226001191203
50,6,50,0.1,1,0.5569209719791054,31.022368871946654
100,6,150,0.05,2,0.6363814027995035,3.8851474458393795
50,2,150,0.02,4,0.8810463064233943,18.947965247863976
30,4,50,0.02,2,0.6763317936956973,9.656550402265989
70,6,150,0.02,2,0.4888078179026141,6.066869201373876
100,4,100,0.05,2,0.7807207123832891,13.103829947225222
30,4,100,0.05,1,0.5047951257211033,27.09971905277564
70,2,150,0.1,4,0.909690449457666,52.760760782635984
30,2,150,0.05,4,0.5825838793991075,96.80591986563039
30,4,50,0.1,4,0.5643979237355677,10.283865776589252
50,4,100,0.1,2,0.5226824107584241,31.35306094083124
50,6,100,0.05,1,0.4619829440841955,27.34881460569875
70,6,100,0.02,4,0.6736184110660163,21.052700850276096
100,2,50,0.1,1,0.7384359684130372,3.494954638360987
30,4,50,0.05,2,0.5263259193778664,17.979018875872413
100,4,50,0.05,4,0.7475091927652688,10.921960200551037
50,4,100,0.02,3,0.4703779478831783,28.24681580352938
70,6,100,0.05,4,0.6247491039293009,20.015584998960904
100,6,50,0.1,1,0.5220630156338614,15.342024038691584
50,2,100,0.05,1,0.8074104703439187,69.2045020843863
70,4,100,0.02,1,0.7616810405320142,12.828623801235068
50,6,150,0.1,2,0.5575635943566253,47.65658732041142
100,4,100,0.05,4,0.6404269172541588,48.35324076597175
100,2,100,0.02,2,0.9650259391175742,18.3068573314184
30,2,50,0.05,1,0.6305163507116861,12.988617862977804
30,4,150,0.02,3,0.4908340343451412,16.702113776771967
50,6,150,0.05,1,0.510540784140838,33.13106154198208
100,2,50,0.05,2,0.8249832231376818,60.34233661126085
30,2,150,0.02,2,0.7047610250745668,57.16019473779585
100,4,100,0.1,1,0.5374504698268863,52.897187978509066
50,2,100,0.02,4,0.7204085578850333,143.2884183123199
100,2,100,0.02,4,0.8246489989042399,27.565882315883997
100,2,150,0.05,1,0.8637398795556489,10.717842346989471
100,2,100,0.1,2,0.8591280115361919,23.570368479881807
100,6,150,0.1,2,0.523307239107793,8.038359855963947
100,4,50,0.1,4,0.6486971616153254,5.8622771308691775
30,6,50,0.1,3,0.489064986397257,41.09361862836192
100,4,150,0.1,4,0.7081150799643697,19.236694515186542
100,2,150,0.05,2,0.8063864933706141,39.6435050944218
30,4,150,0.02,1,0.701376194632426,55.826280183457726
100,2,100,0.1,3,0.7333701349532965,1.2321322736569869
50,2,150,0.02,3,0.7623611156793816,73.92920223221175
30,2,100,0.1,1,0.5883750747749914,6.639485170728335
70,6,50,0.02,3,0.6235531968687219,2.6557118548926972
100,6,150,0.1,1,0.4672130588144007,60.249227723090186
100,4,150,0.05,3,0.5816863813630743,0.4184276881119615
70,6,50,0.02,4,0.6971454082642521,11.148188783158382
70,2,150,0.1,1,0.7622654486668523,183.56991826617326
50,4,150,0.05,2,0.6737550039149682,18.31096362311449
70,4,100,0.1,3,0.5816644865486701,8.030180711159076
100,2,50,0.02,4,0.8709654897757877,12.775670974121617
50,4,150,0.02,1,0.5759034933183572,21.701804701998384
70,2,150,0.05,2,0.7670747641627669,12.944126874474023
50,4,50,0.02,2,0.518854284403373,50.93984159118047
30,6,50,0.02,2,0.6937246007846857,8.996331243794131
70,4,150,0.02,3,0.7898571718823508,23.702145363796816
50,4,50,0.1,2,0.4501025438343214,48.995560774981776
30,2,100,0.02,2,0.8086407955776609,98.03312119457266
70,6,50,0.02,2,0.4582211118706638,5.959103117659808
50,6,150,0.02,4,0.6232376003112733,59.90787478484833
30,6,100,0.1,3,0.5242919343921597,21.22439606349846
30,6,50,0.02,1,0.6427408586108172,3.507157094143018
100,2,150,0.02,3,0.8486194928972678,38.45065840897675
70,6,150,0.1,4,0.5597584356988043,49.4402024783674
50,6,150,0.05,4,0.5666930299353355,33.84073368144399
70,2,150,0.02,1,0.9041325267798824,70.78895384877993
100,6,100,0.02,3,0.7253755255677197,15.062033585666398
30,2,150,0.05,2,0.5926953018348368,55.45757865582773
70,2,50,0.1,3,0.8030493347811134,5.840381090286783
30,6,100,0.02,1,0.4881865890644187,14.653560686809204
70,4,150,0.1,4,0.6569563169404633,14.755845390782113
30,2,50,0.05,2,0.6656638889025882,19.06262011851507
30,2,100,0.05,4,0.3866275703188104,62.49032748602677
30,2,100,0.02,4,0.5531330024344919,40.77241790341069
70,2,50,0.05,4,0.7927330555477351,8.451062944095739
100,2,100,0.1,1,0.4971766113899307,7.946077394325073
50,2,150,0.05,3,0.5240700577352135,31.91028554301866
100,6,50,0.02,2,0.6516581626901868,3.481893261679531
30,6,150,0.05,4,0.4788841744432088,26.27330772617266
50,6,50,0.05,4,0.6196612798849965,4.66143097564796
100,6,50,0.1,3,0.6624486552754986,2.146562794996399
70,2,50,0.05,2,0.7796435677536058,17.61448171428553
50,2,50,0.05,3,0.7544873931186891,7.159614283106329
70,2,100,0.02,1,0.919090966392718,47.12422371133278
100,6,50,0.05,1,0.6121379074358413,19.387710457997155
50,2,50,0.02,1,0.840417973471996,23.109662329579745
30,6,50,0.05,4,0.5820830783811403,14.330611038858606
50,2,150,0.05,2,0.6991865084288973,68.8484943185282
100,6,100,0.1,4,0.5060256712662794,56.94608704458335
100,4,150,0.02,3,0.7444337781151769,149.030476606529
70,2,50,0.1,2,0.6411151380423227,6.3242797854218225
30,6,150,0.1,2,0.4612822090822573,41.401880491102304
100,6,100,0.1,2,0.438659110294625,28.376368818112482
50,6,150,0.1,4,0.5997449785983706,68.42906638837606
50,2,150,0.05,4,0.5715717275702463,31.441782162279736
100,2,50,0.05,1,0.8636216350920372,20.62214826388849
30,4,150,0.05,1,0.4855331427234964,39.16254906408949
30,6,50,0.1,4,0.4269282194452165,1.6884325571550036
70,6,50,0.1,3,0.5157052483894677,35.635529674417484
50,6,50,0.1,4,0.5179465642081672,4.601345539581814
50,6,100,0.1,3,0.5086612408547533,7.992083988516605
70,2,100,0.02,2,0.8981587994457796,85.18531440807737
30,4,50,0.05,4,0.7086068831229179,15.384187792228303
30,6,100,0.05,2,0.428481756306626,1.9970360498987674
30,6,150,0.02,4,0.5594764684747527,33.52532987860539
100,4,50,0.1,2,0.7274271532620215,22.928769412790132
30,2,100,0.05,1,0.5400906597374344,49.622203854397235
50,4,50,0.1,4,0.5575683213128366,29.673795863553945
70,6,150,0.1,2,0.5787693757907839,16.27066978634447
30,4,50,0.05,1,0.5110000438988257,1.5325304662906376
50,4,100,0.05,3,0.4880201411222935,41.86229332854958
30,2,100,0.05,2,0.6747862753329741,27.7059489515903
70,2,150,0.02,4,0.9614682630036812,67.14235839076285
30,4,150,0.05,4,0.5460269672567518,80.88338436295568
30,2,100,0.1,2,0.4735613725502198,45.379546673602135
70,4,100,0.05,2,0.6558874063227913,45.00669374268678
70,2,150,0.02,3,0.8488085783074826,75.88384345112078
30,6,150,0.02,2,0.4303052915842864,7.968877786554742
30,2,50,0.02,3,0.4550460499687909,57.09832146751951
100,2,150,0.02,2,0.8492612149462979,37.966584881848235
100,6,150,0.05,3,0.4923508735801551,36.072928310619986
50,6,50,0.02,3,0.4671806252610171,21.377077125480575
70,6,50,0.05,3,0.5474615605902967,0.5918273798602414
70,4,150,0.1,2,0.621505129155699,23.50427051641445
70,6,100,0.1,2,0.5096967067118576,9.40080871228183
30,2,150,0.02,3,0.7609441317166769,1.1387216415439525
70,6,50,0.05,1,0.6926690047738234,3.212313849587119
30,6,150,0.1,3,0.4992627454577434,9.493218085686436
50,6,100,0.1,2,0.5090837664386214,4.0903043264280825
50,6,100,0.02,3,0.4952629382209261,11.023923489516179
100,4,150,0.02,4,0.860285673624932,18.22420203597696
100,4,150,0.1,2,0.6079789101144805,5.0991203781916
50,6,50,0.02,4,0.4656032317850528,2.5351360616432856
30,2,150,0.1,3,0.7388832860201056,146.87216882308792
100,6,150,0.02,1,0.7154710404168295,35.346045975982676
70,2,50,0.1,4,0.6667735141281921,9.100540445775685
30,2,150,0.1,1,0.7291778005351534,74.64098794774696
70,2,50,0.05,3,0.8596032256567505,10.720163163279167
50,4,100,0.1,4,0.4709546085999211,9.565274028252873
50,6,50,0.1,2,0.5125606556297368,0.5044555853676229
100,6,50,0.05,4,0.5023726484958795,9.124206111700865
70,6,100,0.1,3,0.4506455661922978,14.903160852559637
30,6,50,0.02,4,0.5404648820452357,0.8375962411767972
50,2,100,0.1,3,0.512263708399254,56.56718668939136
100,4,50,0.02,3,0.900791553839876,11.372614016190688
30,2,150,0.1,4,0.8073806648876418,121.06046830973015
70,6,150,0.02,3,0.6173601493004796,10.352146744726497
50,2,50,0.1,2,0.3715005169208682,1.0007794973005986
100,6,100,0.1,1,0.52196761286226,45.95919739422726
70,4,100,0.02,2,0.4639138577605204,23.530577069238255
100,6,150,0.02,2,0.5552167762515501,62.1855988566447
50,4,50,0.1,3,0.4569585157645188,17.66739543355422
30,4,150,0.1,3,0.6726126230548802,31.54396502475619
100,2,150,0.1,3,0.7597530293818311,125.83138931126122
30,4,50,0.1,3,0.5118667896015042,6.274071295319434
70,2,150,0.05,1,0.8451054960051261,213.63370017386248
50,6,100,0.02,2,0.5954122984668428,9.029694996878305
30,4,50,0.02,1,0.7590376000889132,4.9385660489175365
100,6,50,0.05,3,0.6700100142378771,1.9100724166554244
50,6,100,0.1,4,0.5343577433618015,30.619269657239215
100,4,100,0.02,3,0.8701308403301828,18.703342576463825
100,4,50,0.02,1,0.9240415835900546,5.886127999233665
70,4,150,0.02,4,0.7032669085416132,78.03077394339896
50,2,100,0.05,4,0.7745896148741453,45.318674415038046
50,6,150,0.1,3,0.4157239267205164,3.6368120695928496
70,2,100,0.1,4,0.6828491682041451,62.96207660616818
100,6,100,0.05,1,0.615668506980914,3.8792278916064618
50,6,50,0.02,2,0.4146257828398984,7.468008511717173
100,4,50,0.05,1,0.8223054956055363,9.285875624849268
70,4,50,0.02,3,0.8065466495928088,16.460834551365778
30,6,100,0.1,2,0.5064128271161801,60.769822686873994
50,6,100,0.02,1,0.5644633511732643,29.071408468240207
50,4,50,0.1,1,0.5694768381228926,28.596338463789486
30,4,150,0.05,3,0.4128595223287485,37.91305449515032
30,4,50,0.05,3,0.4964264977757298,10.641420427727667
30,6,150,0.02,3,0.540363792833963,18.051168985245
50,6,50,0.1,3,0.4717636840277917,3.146030772971912
70,4,100,0.05,4,0.6193207153308414,50.991939568565485
100,4,100,0.1,4,0.5976654469394854,41.527395233405386
50,6,100,0.02,4,0.5252766801203468,9.652291961711796
50,4,50,0.05,1,0.6957915762593261,17.371166813507987
30,4,100,0.1,2,0.650788676673564,28.65055031374453
100,2,150,0.05,4,0.8286272792326553,205.24502063273175
50,4,100,0.05,4,0.6353507461697616,16.61455642937122
70,6,150,0.05,4,0.4559073281360756,9.306720693144257
50,4,150,0.02,2,0.5540756385578998,10.479937539532273
70,6,50,0.05,2,0.601891400634988,19.472973852410473
100,2,100,0.05,3,0.8217038585792079,86.17871247080802
70,2,150,0.1,3,0.5815438892625241,140.48681581707103
50,4,150,0.02,3,0.6960616322448276,16.830186831591817
100,4,150,0.1,3,0.5827023948282398,33.5217351753854
30,6,100,0.1,1,0.5317603057806504,0.9556597376486451
70,4,50,0.1,4,0.5784158711812498,26.759736112543422
100,6,50,0.02,3,0.800985335199349,0.5937870454481953
50,6,100,0.05,4,0.4961536263476532,3.9343146145354666
30,6,100,0.05,4,0.4203606514126756,42.38003794533725
50,4,100,0.02,1,0.590623753088257,0.05725003447244603
100,2,100,0.05,2,0.866016775575022,34.18400583910121
50,2,150,0.02,2,0.8774154653461047,51.344659338225384
50,2,150,0.1,3,0.4808126601644927,127.54164959137653
70,4,100,0.1,2,0.5039684633419598,7.185901158298321
30,6,100,0.02,2,0.589891695220203,11.292204029016279
30,4,50,0.1,1,0.549041327098332,5.420266619033129
70,6,100,0.05,3,0.6989452739220133,7.613325058833581
100,6,150,0.02,4,0.7259287475360656,4.979297044104413
50,4,150,0.1,4,0.5448543334473734,59.63737039937428
100,6,100,0.05,4,0.5581362638252398,11.397016557007177
30,6,50,0.1,2,0.4854593452332326,17.801337657452827
70,4,150,0.05,2,0.6705300206031631,0.3556185613559819
50,6,100,0.05,2,0.4982653986509726,0.08422696183880873
30,6,50,0.05,2,0.4950257100948111,11.998834874664468
70,2,50,0.02,1,0.8513351091826292,5.660871849508126
50,6,150,0.05,2,0.5913724333284346,10.444908084513315
30,4,100,0.02,2,0.5641458838882272,57.93115250857598
30,4,100,0.05,3,0.5332723851054595,7.346666189382304
70,4,50,0.02,4,0.5984348274921779,2.8488855238501003
50,4,100,0.05,1,0.708734158091177,63.89070219258949
30,4,50,0.1,2,0.5222960929417655,7.877241326860158
70,2,100,0.1,2,0.5466582831853732,4.749072722620014
30,2,50,0.1,3,0.6483140797891825,53.540614591949414
30,4,150,0.02,4,0.6155526008926174,89.14174230280949
30,2,100,0.1,4,0.6347425017876305,99.29969848685298
50,2,150,0.1,1,0.6254996828164353,53.51719821829937
100,4,100,0.05,1,0.6178831306404722,0.4588259745235348
50,4,100,0.1,1,0.4177386015794919,49.52605233022899
100,6,150,0.1,3,0.4801968089244981,1.083572955484044
50,6,50,0.05,2,0.4982806799274218,2.378215603238985
100,2,100,0.02,3,0.9336728710852168,27.499047798129368
70,2,100,0.02,3,0.6236944596495553,14.202381220539834
70,6,50,0.02,1,0.5429024331858016,8.308553135077254
50,4,50,0.02,4,0.5372941346013151,6.853131633495693
100,2,50,0.1,3,0.7362342820613852,70.80063384293412
50,6,50,0.05,3,0.5474807934174715,13.340770782549995
30,4,100,0.02,1,0.5267058167674381,13.14065755780587
70,4,100,0.1,4,0.5149125784302029,10.66171839851998
100,4,50,0.02,4,0.863955887238421,5.007802430451685
70,4,150,0.02,2,0.6988439927000702,53.683680933363405
30,2,150,0.05,3,0.8028775372187451,99.9747939315817
100,6,100,0.05,3,0.6510332131883485,13.220614310975833
50,6,100,0.1,1,0.5481892559965144,13.163756760126745
100,6,50,0.02,1,0.7271299236616193,24.015215401195658
100,2,100,0.05,4,0.879281897831562,49.18382944473548
70,2,100,0.05,1,0.7825230680948302,24.555718952703927
100,4,150,0.02,2,0.5685000584532963,19.051738957676946
100,4,150,0.05,1,0.7500250272868125,30.990811155120156
70,4,50,0.02,2,0.5984779545603517,3.1975953145720677
50,6,150,0.05,3,0.462500456012097,40.00122402173234
70,6,50,0.1,1,0.5056755519667814,2.4835392482353527
70,6,100,0.02,1,0.569052964017284,3.2098090259510457
70,2,150,0.1,2,0.8236568680226548,33.618610514737384
100,4,50,0.02,2,0.8237727132869638,8.08393605794258
50,4,100,0.02,2,0.446059581446103,16.651145658701246
100,2,50,0.05,4,0.9117126844914925,32.13369738397982
30,6,50,0.05,1,0.5277698722364895,14.087205911227741
100,6,100,0.02,1,0.5745796399833201,2.5648100390092026
30,2,150,0.02,4,0.5803965672308035,49.344342121021135
70,6,50,0.05,4,0.6110183596204363,10.043490820379773
100,6,150,0.05,4,0.5609857162394749,51.53604117354064
30,2,100,0.02,3,0.6843885216184187,22.75596102001819
30,2,50,0.02,4,0.7238445615870964,20.997578485722386
70,6,100,0.1,4,0.5777434633660983,0.45723758283696725
70,4,100,0.05,3,0.6991921799389598,34.21177003377838
70,6,50,0.1,2,0.4396185012556776,4.550598588219131
70,2,100,0.1,1,0.4490889041233125,97.84375987384045
30,2,150,0.02,1,0.6378674612159666,111.94675409995995
30,6,100,0.05,3,0.6148358056811213,25.335080119953716
50,4,100,0.02,4,0.4083196915858634,12.306095889527537
30,4,100,0.02,4,0.5077806440204717,27.83098502771604
30,2,50,0.02,2,0.855258195420311,31.54301309784185
70,2,100,0.02,4,0.871141660900721,18.899256009371356
30,6,150,0.02,1,0.5193186634547224,28.557616675574394
50,4,50,0.02,3,0.5791790955970275,12.107803678499014
50,2,150,0.05,1,0.869954956379783,60.43139742794307
50,4,150,0.05,4,0.600676524488114,90.93551516855028
70,6,150,0.1,1,0.4958365547806027,27.796039196155036
70,6,100,0.05,2,0.4105773005222463,35.93187281340868
30,4,150,0.02,2,0.5150123227748711,68.27659232815837
100,2,150,0.02,1,0.910688880855728,55.690384241497355
30,2,100,0.02,1,0.6740437743332985,62.9541027518881
50,4,100,0.1,3,0.4581165755478371,57.74118135240285
50,4,150,0.1,1,0.6004169426666797,38.41498456767184
100,4,100,0.05,3,0.6940480833439022,17.963470044368975
100,4,150,0.02,1,0.6532244332250864,18.697230297878775
50,6,150,0.02,2,0.6242173459211994,35.147848162238105
50,2,100,0.02,1,0.8764693348142207,7.164519974240676
30,6,100,0.02,4,0.5132501467821141,5.859767465845877
100,4,100,0.02,1,0.6415658402267947,24.609310942953158
30,2,50,0.02,1,0.4689727346485536,83.21052091229112
100,4,50,0.1,1,0.5332058244076968,24.238864868303864
100,4,100,0.1,3,0.5284109566309991,50.46637409801898
50,6,50,0.05,1,0.5330458426441442,0.31525184539776063
70,4,50,0.05,3,0.6327209083168702,5.727010767585611
30,2,50,0.1,4,0.3547043624309988,23.888295581393265
30,6,150,0.05,1,0.5212407907973163,45.117306850212785
100,6,150,0.02,3,0.6206466467112715,6.087735388027795
100,2,100,0.1,4,0.7711941088957874,30.50770757387079
