,index,phi
0,0,0.003460451628075169
1,1,0.13164339383343335
2,2,0.24973215432048967
3,3,0.0850780400235629
4,4,0.02704771289392721
5,5,0.034617693067545294
6,6,-0.14908358075225348
7,7,-0.08137435007835728
8,8,-0.19633487731718283
9,9,-0.20950065894762374
10,10,-0.4831009326668065
11,11,-0.28158212448683156
12,12,0.10337097374812781
13,13,-0.019355330703172774
14,14,0.1304866817435894
15,15,0.11586547806325441
16,16,-0.2927768136618153
17,17,-0.29755413025327726
18,18,0.39347870991532224
19,19,0.17842932604119122
20,20,0.12797635942945318
21,21,-0.12274313378144788
22,22,0.03145709789508465
23,23,0.2570241887076216
24,24,0.13610965613103898
25,25,0.14841994865644997
26,26,0.18943226802650256
27,27,0.30427322561796843
28,28,0.24400437913321357
29,29,0.29566452591587244
30,30,0.1497847673621108
31,31,-0.14843224507473923
32,32,-0.32232600989396354
33,33,0.22994134990243228
34,34,-0.1486955743463329
35,35,0.11509176234356139
36,36,0.1891198855113952
37,37,0.318279033516463
38,38,0.2690806499879505
39,39,0.4081226854714895
40,40,-0.07058033849627664
41,41,-0.17453977849479493
42,42,-0.30036018369630485
43,43,0.38648371131853354
44,44,0.5159108693891112
45,45,-0.23590653461997269
46,46,0.027020745661382232
47,47,0.3890213118317655
48,48,-0.1679281403622704
49,49,-0.19026065479697485
50,50,-0.3299821997642305
51,51,0.4685516410653246
52,52,-0.11746334648087083
53,53,0.010834174174816361
54,54,-0.30863816343202344
55,55,-0.38682656719026076
56,56,0.27389230544012916
57,57,-0.08319265910399153
58,58,0.2062631949094865
59,59,0.1167195376595008
60,60,-0.0006541751140634719
61,61,-0.10396559101098983
62,62,-0.3147015930307721
63,63,-0.18849610820547757
64,64,-0.3986717137280535
65,65,-0.006725512161292597
66,66,0.21255792301423748
67,67,0.33403762624973615
68,68,0.11283675416346034
69,69,0.17163449160812255
70,70,-0.1609138784038863
71,71,0.34740692755287966
72,72,0.34532131561661644
73,73,0.23323509324551908
74,74,-0.13558130743803645
75,75,0.3030101955454494
76,76,-0.1147481433666889
77,77,0.43557541375651027
78,78,-0.08709232614328688
79,79,0.42369769687841563
80,80,0.2163353553610107
81,81,0.23880751432959202
82,82,0.51498775316283
83,83,-0.15680685559980237
84,84,-0.14111573300542596
85,85,-0.11898902724719781
86,86,-0.16520861831363445
87,87,0.22385815979782472
88,88,-0.04453913999553895
89,89,-0.20634379635289163
90,90,-0.27264252973800035
91,91,0.06823097746720605
92,92,-0.14373450568556906
93,93,0.27229059335728806
94,94,0.4963785998907723
95,95,0.14932847370779684
96,96,0.09888298440635648
97,97,-0.16944468117164674
98,98,-0.1951080854176045
99,99,-0.3036313099902026
100,100,0.22439667602929145
101,101,-0.05372314459392061
102,102,0.04385502262115567
103,103,0.3872169872579598
104,104,0.3615998600677441
105,105,0.3274944747506906
106,106,0.3824219252571486
107,107,-0.03218845442284066
108,108,-0.4614513380938807
109,109,-0.4349449886906273
110,110,0.48837514909979696
111,111,0.201829051783837
112,112,-0.3181544466141765
113,113,0.1333273605201566
114,114,0.04270631904605896
115,115,-0.20069668720205225
116,116,-0.26738900146039707
117,117,-0.45035377418804584
118,118,-0.04996209347601736
119,119,0.11968225576413793
120,120,0.3039845724370911
121,121,0.010733173643513847
122,122,0.45747642533595206
123,123,-0.19390652256693355
124,124,-0.28287428620534866
125,125,-0.11225196841363919
126,126,0.5273501712500333
127,127,0.15534917542808294
128,128,-0.39366444356911384
129,129,0.17738268562566487
130,130,0.08073042376396387
131,131,0.15034371968737856
132,132,0.46774769938165695
133,133,-0.290533612947487
134,134,-0.49101668812595267
135,135,0.021616494960280296
136,136,-0.12878785604499982
137,137,-0.40616782350033925
138,138,0.16886367543568243
139,139,-0.13010071475518134
140,140,-0.12259646562328079
141,141,-0.16435749653327208
142,142,-0.2110986316667733
143,143,-0.007455009844022035
144,144,0.21068307307229733
145,145,-0.1793861351804024
146,146,-0.22700053522853797
147,147,-0.1975519702479947
148,148,-0.21185958390659793
149,149,-0.22666414263835188
150,150,-0.1366261122367715
151,151,0.11015819890491386
152,152,0.4035402575261188
153,153,0.1333368057099278
154,154,-0.4094891445813843
155,155,-0.2484212150058745
156,156,-0.23743751627318438
157,157,-0.058953444327071475
158,158,-0.5971191109507332
159,159,-0.11674763826680612
160,160,-0.38265493565655717
161,161,0.2832378792146103
162,162,-0.19207501431168245
163,163,0.10633727404770403
164,164,0.002666841956684218
165,165,-0.07886286567512008
166,166,0.4333657776044364
167,167,-0.20389670829736434
168,168,-0.19787805661986077
169,169,0.539505920902271
170,170,-0.07786362808511191
171,171,0.5359999264623071
172,172,-0.36187673688008615
173,173,0.304988369097063
174,174,0.2476604726934485
175,175,0.2583363500673612
176,176,-0.15044158527783785
177,177,0.3891710060396015
178,178,0.030281948545889524
179,179,0.2588717466252768
180,180,0.09837626854863848
181,181,0.057777927956051044
182,182,-0.10267632061102977
183,183,-0.20499363949866567
184,184,0.340440259742116
185,185,-0.18759099414754388
186,186,-0.2395314501085596
187,187,-0.4668315797283606
188,188,-0.1724433121105243
189,189,-0.28478339467984864
190,190,-0.14539526800893804
191,191,0.3242462078884475
192,192,0.369905077957241
193,193,0.049918879156311616
194,194,0.3069259471079902
195,195,0.15932599632532193
196,196,-0.11726880595536139
197,197,-0.33312793515614153
198,198,0.04531086267370784
199,199,0.20889794379497098
200,200,0.2617175317539515
201,201,-0.5956330441341912
202,202,0.04672214660833882
203,203,-0.15606024636856847
204,204,-0.17560805037885807
205,205,0.383947540320103
206,206,-0.09664825121596748
207,207,-0.32949755843774814
208,208,-0.12842161977194447
209,209,-0.03582852445466547
210,210,0.13262078011248046
211,211,0.3900310494747998
212,212,0.1153018575359238
213,213,0.2593359767772481
214,214,-0.4565645077240347
215,215,0.4511274914452356
216,216,-0.08422639932824286
217,217,0.19569500058122413
218,218,0.10736312068726149
219,219,0.08848478095698503
220,220,-0.46687073395464784
221,221,-0.2855084829661803
222,222,-0.2887600411862124
223,223,0.25865671880361807
224,224,0.06495305017287246
225,225,-0.4547401067329782
226,226,-0.06742442104547902
227,227,0.3169577009509331
228,228,0.3212456857027018
229,229,0.27882900509214986
230,230,-0.22155456425753622
231,231,-0.03492655357821209
232,232,-0.0859017239821427
233,233,-0.34586984051205877
234,234,-0.22802193403450544
235,235,0.1332965174517541
236,236,0.4009620028576765
237,237,-0.39293902937653974
238,238,-0.2744456142514128
239,239,-0.17512008703834098
240,240,0.11005950851535455
241,241,0.35853044035879084
242,242,0.4613108637020734
243,243,-0.33599825794095123
244,244,0.4608782783517523
245,245,0.13615019239945902
246,246,-0.3887326066816338
247,247,-0.41081763578524677
248,248,-0.046051125865973895
249,249,-0.23219564413433938
250,250,0.42955488388598595
251,251,0.5022314418553273
252,252,0.23189711763548396
253,253,0.13114151896900322
254,254,0.33844549555615006
255,255,0.13649653211160653
256,256,0.155022972523774
257,257,0.3419589767977948
258,258,0.16140205232880983
259,259,0.3225249222442347
260,260,-0.4215878939903138
261,261,0.07067571655143158
262,262,0.06018736061202562
263,263,0.2870236204365151
264,264,-0.032420549275324596
265,265,-0.028851232850982428
266,266,-0.42072722270951957
267,267,0.27488463159630255
268,268,0.22858299537728194
269,269,-0.032004014827903354
270,270,-0.34867576685856183
271,271,0.1007208030977351
272,272,0.33248826574502816
273,273,0.05904981137192328
274,274,0.27186294642054354
275,275,-0.37026484740590865
276,276,-0.20598664676276685
277,277,-0.31178836515044045
278,278,-0.09755049389252597
279,279,-0.3279330919514802
280,280,-0.3808435960386219
281,281,0.3568999357655799
282,282,0.282202479718477
283,283,-0.13836120963089682
284,284,0.47906035732573066
285,285,-0.5405087523185489
286,286,-0.27325446718055096
287,287,0.5843966398671732
288,288,0.033965204402753725
289,289,0.19053550989007842
290,290,0.2146275676070626
291,291,0.3715456835423013
292,292,-0.1684193205313704
293,293,0.3400455569234144
294,294,-0.15219054770651955
295,295,-0.04979753101881181
296,296,-0.25413407194728005
297,297,0.42891761838984616
298,298,-0.5841182721763771
299,299,-0.2839031355518104
300,300,0.09620528691814975
301,301,-0.28337733558154565
302,302,0.02595174462300982
303,303,0.1662258048376483
304,304,-0.2592278209684419
305,305,0.23192266083153174
306,306,-0.26578427282034756
307,307,0.1562882115327697
308,308,0.014114344894405164
309,309,0.308260624407538
310,310,-0.2534228994755711
311,311,-0.2755677058714016
312,312,-0.21355422436452778
313,313,-0.5476755571907052
314,314,0.44191629630727586
315,315,0.32556035839009767
316,316,0.06685863978733671
317,317,0.41247700325008774
318,318,-0.22283293835251816
319,319,0.17212277202365478
320,320,0.17885401314842175
