Omega_max (MHz),K,nn_steps,final_eval_loss,best_eval_loss,avg_gate_fidelity,std_gate_fidelity
40,50,200,0.42117406510329425,0.42117406510329425,0.6957512909523232,0.03587893287679833
40,70,200,0.18982021129718413,0.18982021129718413,0.7460761787936975,0.0414922011113999
80,50,200,0.02980633328040644,0.02980633328040644,0.9031153651763331,0.03781472965773159
80,70,200,0.011627413550814262,0.011627413550814262,0.9446182838382747,0.014855422174935762
