t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0023168839252932934,-80.0,0.0
0.0025,0.0,50.0
0.00067268775446504,80.0,0.0
0.0025,0.0,50.0
0.0005058770118574401,-80.0,0.0
0.0025,0.0,50.0
0.0012761994519459913,-80.0,0.0
0.0025,0.0,50.0
0.0002958127753505489,80.0,0.0
0.0025,0.0,50.0
0.00231051690300931,80.0,0.0
0.0025,0.0,50.0
0.001631252409468774,80.0,0.0
0.0025,0.0,50.0
0.0010406682011421542,80.0,0.0
0.0025,0.0,50.0
0.0002781173452056586,-80.0,0.0
0.0025,0.0,50.0
0.0013518832860374699,-80.0,0.0
0.0025,0.0,50.0
0.0004155983551831139,80.0,0.0
0.0025,0.0,50.0
0.0006941983078366291,-80.0,0.0
0.0025,0.0,50.0
0.0010216632093792903,-80.0,0.0
0.0025,0.0,50.0
0.0019191222780659911,-80.0,0.0
0.0025,0.0,50.0
0.0022958563523258727,-80.0,0.0
0.0025,0.0,50.0
0.0021993733584864303,80.0,0.0
0.0025,0.0,50.0
0.0015287625799296346,80.0,0.0
0.0025,0.0,50.0
0.0014710942320712813,80.0,0.0
0.0025,0.0,50.0
0.00027646968241828426,80.0,0.0
0.0025,0.0,50.0
0.002417977740655554,-80.0,0.0
0.0025,0.0,50.0
0.0011880493228644113,-80.0,0.0
0.0025,0.0,50.0
0.0019717380285622474,-80.0,0.0
0.0025,0.0,50.0
0.0010221315347377032,80.0,0.0
0.0025,0.0,50.0
0.001170024926130116,80.0,0.0
0.0025,0.0,50.0
0.001190624512591098,-80.0,0.0
0.0025,0.0,50.0
0.001326493040618405,80.0,0.0
0.0025,0.0,50.0
0.0003059660351270018,80.0,0.0
0.0025,0.0,50.0
0.001891201951687952,80.0,0.0
0.0025,0.0,50.0
0.001428807901479657,80.0,0.0
0.0025,0.0,50.0
0.000980995959039224,-80.0,0.0
0.0025,0.0,50.0
0.0002005923256248372,-80.0,0.0
0.0025,0.0,50.0
0.0007314888813440095,80.0,0.0
0.0025,0.0,50.0
0.0002590780846067311,80.0,0.0
0.0025,0.0,50.0
0.001526779654874402,80.0,0.0
0.0025,0.0,50.0
0.0011053870667095905,-80.0,0.0
0.0025,0.0,50.0
0.002985724140218517,-80.0,0.0
0.0025,0.0,50.0
0.0006902175992244051,-80.0,0.0
0.0025,0.0,50.0
0.001493546787603068,-80.0,0.0
0.0025,0.0,50.0
0.0008624959937053066,80.0,0.0
0.0025,0.0,50.0
0.0006796704676757229,80.0,0.0
0.0025,0.0,50.0
0.0010090517232257202,80.0,0.0
0.0025,0.0,50.0
0.0017309758943237655,80.0,0.0
0.0025,0.0,50.0
0.00032739026959857816,80.0,0.0
0.0025,0.0,50.0
0.00045114288831896615,80.0,0.0
0.0025,0.0,50.0
0.0006608502901344984,-80.0,0.0
0.0025,0.0,50.0
0.001138532957600811,-80.0,0.0
0.0025,0.0,50.0
0.0006381105379243937,80.0,0.0
0.0025,0.0,50.0
0.0006804472647927924,-80.0,0.0
0.0025,0.0,50.0
4.868958813496135e-05,80.0,0.0
0.0025,0.0,50.0
0.0019062521740637825,-80.0,0.0
0.0025,0.0,50.0
0.0027486678852780876,-80.0,0.0
