t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0017054724218735857,80.0,0.0
0.0008333333333333334,0.0,150.0
0.000904542810616664,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0007342170711303028,80.0,0.0
0.0008333333333333334,0.0,150.0
7.128087579261242e-05,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0011255961897532701,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0003850926422992726,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0007853068820657301,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.001665012326006732,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0005463289703152845,80.0,0.0
0.0008333333333333334,0.0,150.0
0.00032540246420909155,80.0,0.0
0.0008333333333333334,0.0,150.0
0.000500138023440545,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0010599433586544423,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0008653540631010947,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0011672558582882752,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0029780169115018987,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0001614505672094142,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.00024889580938707294,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.00012357019939177052,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0013394241237265965,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0014123706877620752,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0009407694765846476,80.0,0.0
0.0008333333333333334,0.0,150.0
0.001658573063797104,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0010107544408675358,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0012187775106923602,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0017785747301965811,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0015839055196441476,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0005605674357412801,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0012375355380496444,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0005175937021801747,80.0,0.0
0.0008333333333333334,0.0,150.0
0.00020892577922330987,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0009311416041028516,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0009041517943271947,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.003180904766579726,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0009474836987532236,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0015537597218154993,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.000971283597570321,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0004862502000558031,80.0,0.0
0.0008333333333333334,0.0,150.0
0.000396936548194212,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0013017211945372485,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0002133571206788754,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0005835558907232228,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0010556079135013174,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0001317078686197027,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0020701695363364797,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0006950744849165955,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.00020466551506189955,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.001066088061670524,80.0,0.0
0.0008333333333333334,0.0,150.0
0.001096541035037765,80.0,0.0
0.0008333333333333334,0.0,150.0
0.0013782845841482743,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.0012121900597177908,-80.0,0.0
0.0008333333333333334,0.0,150.0
0.002007115277785865,80.0,0.0
