t (us),H_x (2pi MHz),H_z (2pi MHz)
0.002338462722343091,80.0,0.0
0.0025,0.0,50.0
0.0011865028679935406,80.0,0.0
0.0025,0.0,50.0
8.283768327824198e-05,80.0,0.0
0.0025,0.0,50.0
0.0006958035428505449,80.0,0.0
0.0025,0.0,50.0
0.0013800296109277065,80.0,0.0
0.0025,0.0,50.0
0.0009812401315419574,-80.0,0.0
0.0025,0.0,50.0
0.0009746132360103817,-80.0,0.0
0.0025,0.0,50.0
0.0016951864327672448,80.0,0.0
0.0025,0.0,50.0
0.00019658687839479126,80.0,0.0
0.0025,0.0,50.0
0.0009840469137648539,-80.0,0.0
0.0025,0.0,50.0
0.0014917280584737097,80.0,0.0
0.0025,0.0,50.0
0.0008532901192826266,80.0,0.0
0.0025,0.0,50.0
0.0005805519552436861,-80.0,0.0
0.0025,0.0,50.0
0.0008754550263648341,80.0,0.0
0.0025,0.0,50.0
0.0008795778472755193,80.0,0.0
0.0025,0.0,50.0
0.0003895901401221981,-80.0,0.0
0.0025,0.0,50.0
0.0006371828701597112,80.0,0.0
0.0025,0.0,50.0
0.0009091170056217585,80.0,0.0
0.0025,0.0,50.0
0.0005504653563706603,-80.0,0.0
0.0025,0.0,50.0
0.0004526001741099974,80.0,0.0
0.0025,0.0,50.0
0.0012310132768835384,80.0,0.0
0.0025,0.0,50.0
0.0005821104974094382,-80.0,0.0
0.0025,0.0,50.0
0.0004144087066415098,-80.0,0.0
0.0025,0.0,50.0
0.0014134813783809692,80.0,0.0
0.0025,0.0,50.0
0.0002027733021283482,80.0,0.0
0.0025,0.0,50.0
0.0009867838140932136,-80.0,0.0
0.0025,0.0,50.0
0.0007368460754991826,80.0,0.0
0.0025,0.0,50.0
0.0013026486355730866,80.0,0.0
0.0025,0.0,50.0
0.0007216607528692532,-80.0,0.0
0.0025,0.0,50.0
0.0005220860569097974,-80.0,0.0
0.0025,0.0,50.0
0.0013101594892814905,80.0,0.0
0.0025,0.0,50.0
0.0006457567120376305,80.0,0.0
0.0025,0.0,50.0
0.0007409386379944673,-80.0,0.0
0.0025,0.0,50.0
0.0007651160953451809,80.0,0.0
0.0025,0.0,50.0
0.0010150716978474632,80.0,0.0
0.0025,0.0,50.0
0.00040742169903217556,-80.0,0.0
0.0025,0.0,50.0
0.00044278353695276847,80.0,0.0
0.0025,0.0,50.0
0.0012541700143150257,80.0,0.0
0.0025,0.0,50.0
0.00032732554799739415,-80.0,0.0
0.0025,0.0,50.0
0.00019261882251678637,80.0,0.0
0.0025,0.0,50.0
0.001640650072250502,80.0,0.0
0.0025,0.0,50.0
0.0003729373093721887,-80.0,0.0
0.0025,0.0,50.0
0.0004258566767133477,-80.0,0.0
0.0025,0.0,50.0
0.0018823529819053549,80.0,0.0
0.0025,0.0,50.0
0.0003383366035713073,-80.0,0.0
0.0025,0.0,50.0
0.0014255497472690493,-80.0,0.0
0.0025,0.0,50.0
0.0011282624465355747,80.0,0.0
0.0025,0.0,50.0
0.00018058697749944117,80.0,0.0
0.0025,0.0,50.0
0.0008038443929455593,-80.0,0.0
0.0025,0.0,50.0
0.0018838359492652852,80.0,0.0
0.0025,0.0,50.0
0.0029580890589022486,80.0,0.0
