t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0026398135158030717,-80.0,0.0
0.0025,0.0,50.0
0.00020613418740752474,-80.0,0.0
0.0025,0.0,50.0
0.001282293979915475,80.0,0.0
0.0025,0.0,50.0
0.0001946415574686421,-80.0,0.0
0.0025,0.0,50.0
0.0001063141526655207,-80.0,0.0
0.0025,0.0,50.0
0.0008515927014659637,80.0,0.0
0.0025,0.0,50.0
5.919628554119204e-05,-80.0,0.0
0.0025,0.0,50.0
0.000607251935500976,80.0,0.0
0.0025,0.0,50.0
0.0012929262456908236,80.0,0.0
0.0025,0.0,50.0
0.00115179400706377,80.0,0.0
0.0025,0.0,50.0
0.0005429434536461761,-80.0,0.0
0.0025,0.0,50.0
0.0018831236975795137,-80.0,0.0
0.0025,0.0,50.0
0.0012579100180856926,-80.0,0.0
0.0025,0.0,50.0
0.0007992925217111726,-80.0,0.0
0.0025,0.0,50.0
6.201659321793491e-05,80.0,0.0
0.0025,0.0,50.0
0.0003244806652630076,80.0,0.0
0.0025,0.0,50.0
0.00013061699247349175,-80.0,0.0
0.0025,0.0,50.0
0.0005273191860104248,-80.0,0.0
0.0025,0.0,50.0
0.0011612797226612198,-80.0,0.0
0.0025,0.0,50.0
0.001511705911496366,-80.0,0.0
0.0025,0.0,50.0
0.001968302099229569,-80.0,0.0
0.0025,0.0,50.0
0.000918404487182157,-80.0,0.0
0.0025,0.0,50.0
0.0037479031290712584,80.0,0.0
0.0025,0.0,50.0
0.004619886756003071,80.0,0.0
0.0025,0.0,50.0
0.004372988053561139,-80.0,0.0
0.0025,0.0,50.0
0.003258177457936991,-80.0,0.0
0.0025,0.0,50.0
0.0010140704897903558,80.0,0.0
0.0025,0.0,50.0
0.0009998623428880212,80.0,0.0
0.0025,0.0,50.0
0.00037577895425507807,80.0,0.0
0.0025,0.0,50.0
0.00017251905992522154,-80.0,0.0
0.0025,0.0,50.0
0.002541334344701324,-80.0,0.0
