t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0019859426338851363,80.0,0.0
0.0025,0.0,50.0
0.001692215584079289,-80.0,0.0
0.0025,0.0,50.0
0.00034365723919268544,-80.0,0.0
0.0025,0.0,50.0
0.00026015508059876635,80.0,0.0
0.0025,0.0,50.0
0.00044415273276507573,80.0,0.0
0.0025,0.0,50.0
0.001274064107561772,80.0,0.0
0.0025,0.0,50.0
0.000653691674373705,-80.0,0.0
0.0025,0.0,50.0
0.0006673853946428863,-80.0,0.0
0.0025,0.0,50.0
0.0015014795126394873,-80.0,0.0
0.0025,0.0,50.0
0.00026714929470968,80.0,0.0
0.0025,0.0,50.0
0.002180308350475439,-80.0,0.0
0.0025,0.0,50.0
5.0335517827153695e-06,-80.0,0.0
0.0025,0.0,50.0
0.000670059343031449,80.0,0.0
0.0025,0.0,50.0
0.002235703329000782,80.0,0.0
0.0025,0.0,50.0
0.00024211367325431026,80.0,0.0
0.0025,0.0,50.0
0.00032818435855622256,80.0,0.0
0.0025,0.0,50.0
0.0006282074925841617,80.0,0.0
0.0025,0.0,50.0
0.0025091784720351084,80.0,0.0
0.0025,0.0,50.0
0.0003307938187782835,80.0,0.0
0.0025,0.0,50.0
0.0024503027327310565,-80.0,0.0
0.0025,0.0,50.0
0.00030433544671434274,-80.0,0.0
0.0025,0.0,50.0
0.0010646556157702907,80.0,0.0
0.0025,0.0,50.0
0.00045848448313383155,80.0,0.0
0.0025,0.0,50.0
0.0007213973802922974,80.0,0.0
0.0025,0.0,50.0
0.001363925722852077,80.0,0.0
0.0025,0.0,50.0
0.0013974249060803032,-80.0,0.0
0.0025,0.0,50.0
0.0006974763290046356,80.0,0.0
0.0025,0.0,50.0
0.0006970021636019414,-80.0,0.0
0.0025,0.0,50.0
0.002522352318978509,-80.0,0.0
0.0025,0.0,50.0
0.0004972844198403647,-80.0,0.0
0.0025,0.0,50.0
0.0020419207707246608,-80.0,0.0
0.0025,0.0,50.0
0.0019394403495973246,80.0,0.0
0.0025,0.0,50.0
0.0002560841123785473,-80.0,0.0
0.0025,0.0,50.0
0.0003233170577808619,80.0,0.0
0.0025,0.0,50.0
0.00034197034889414717,-80.0,0.0
0.0025,0.0,50.0
0.002446957254622545,80.0,0.0
0.0025,0.0,50.0
0.0002614071816394916,80.0,0.0
0.0025,0.0,50.0
0.0013998500044802558,-80.0,0.0
0.0025,0.0,50.0
6.271926954759546e-05,-80.0,0.0
0.0025,0.0,50.0
0.0010374618145180582,80.0,0.0
0.0025,0.0,50.0
0.0007713668036459569,80.0,0.0
0.0025,0.0,50.0
0.0010875240860092992,-80.0,0.0
0.0025,0.0,50.0
0.0002472456204373197,-80.0,0.0
0.0025,0.0,50.0
0.0030219459752893487,80.0,0.0
0.0025,0.0,50.0
0.0010991757364000707,80.0,0.0
0.0025,0.0,50.0
0.0008551988667764004,-80.0,0.0
0.0025,0.0,50.0
0.0009766226673941303,80.0,0.0
0.0025,0.0,50.0
0.0010273419142738547,80.0,0.0
0.0025,0.0,50.0
9.839841724924887e-05,80.0,0.0
0.0025,0.0,50.0
0.0002931052748951562,-80.0,0.0
0.0025,0.0,50.0
0.0030147086800966848,80.0,0.0
