t (us),H_x (2pi MHz),H_z (2pi MHz)
0.002333723347750352,-80.0,0.0
0.0025,0.0,50.0
0.0011489412582596618,-80.0,0.0
0.0025,0.0,50.0
0.0010269653288982373,80.0,0.0
0.0025,0.0,50.0
0.001508862718960786,80.0,0.0
0.0025,0.0,50.0
0.0007621298018438098,80.0,0.0
0.0025,0.0,50.0
0.0017354713679835388,-80.0,0.0
0.0025,0.0,50.0
0.0018448407873613052,80.0,0.0
0.0025,0.0,50.0
0.001970669199190479,80.0,0.0
0.0025,0.0,50.0
0.0017347100736020908,80.0,0.0
0.0025,0.0,50.0
0.00236514874489446,80.0,0.0
0.0025,0.0,50.0
0.0032843963225933906,-80.0,0.0
0.0025,0.0,50.0
0.0031333213538906252,-80.0,0.0
0.0025,0.0,50.0
0.0013700752570507103,80.0,0.0
0.0025,0.0,50.0
0.0029187900423827246,-80.0,0.0
0.0025,0.0,50.0
0.0008992465413284353,-80.0,0.0
0.0025,0.0,50.0
0.0015189661275530812,-80.0,0.0
0.0025,0.0,50.0
0.0011951986241870028,80.0,0.0
0.0025,0.0,50.0
0.0019313475487603101,80.0,0.0
0.0025,0.0,50.0
0.00041079586404093075,-80.0,0.0
0.0025,0.0,50.0
0.0025432856026284998,80.0,0.0
0.0025,0.0,50.0
0.0021683471409414414,-80.0,0.0
0.0025,0.0,50.0
0.0008104621268960698,-80.0,0.0
0.0025,0.0,50.0
0.0024565446750316796,80.0,0.0
0.0025,0.0,50.0
0.0004265728768304057,-80.0,0.0
0.0025,0.0,50.0
0.000999112956916176,80.0,0.0
0.0025,0.0,50.0
0.0019945041351048486,-80.0,0.0
0.0025,0.0,50.0
0.0009035879925804458,-80.0,0.0
0.0025,0.0,50.0
0.001098588073445082,80.0,0.0
0.0025,0.0,50.0
0.0005073368774271556,-80.0,0.0
0.0025,0.0,50.0
0.0017183011398473613,-80.0,0.0
0.0025,0.0,50.0
0.0027662787418588205,-80.0,0.0
0.0025,0.0,50.0
0.0029043209747046197,80.0,0.0
0.0025,0.0,50.0
0.0018324325869206286,-80.0,0.0
0.0025,0.0,50.0
0.0034276282044093595,80.0,0.0
0.0025,0.0,50.0
0.0018886295019105348,80.0,0.0
0.0025,0.0,50.0
0.0011629863009260193,-80.0,0.0
0.0025,0.0,50.0
0.0016276000429004318,80.0,0.0
0.0025,0.0,50.0
0.00018970397048386333,80.0,0.0
0.0025,0.0,50.0
0.0001617439313030669,-80.0,0.0
0.0025,0.0,50.0
0.0010417416565439714,-80.0,0.0
0.0025,0.0,50.0
0.0012853249984894064,80.0,0.0
0.0025,0.0,50.0
0.0014035379650312277,80.0,0.0
0.0025,0.0,50.0
0.002282367854499314,-80.0,0.0
0.0025,0.0,50.0
0.0006911125195359656,-80.0,0.0
0.0025,0.0,50.0
0.00023002847880512244,80.0,0.0
0.0025,0.0,50.0
3.938219294961943e-06,-80.0,0.0
0.0025,0.0,50.0
0.001867464001018128,80.0,0.0
0.0025,0.0,50.0
0.0008092372034800392,-80.0,0.0
0.0025,0.0,50.0
0.001990987477224744,80.0,0.0
0.0025,0.0,50.0
0.0006353677910148097,80.0,0.0
0.0025,0.0,50.0
0.0020887152249463785,-80.0,0.0
