t (us),H_x (2pi MHz),H_z (2pi MHz)
7.409968109106234e-05,-80.0,0.0
0.0025,0.0,50.0
0.0016294372396876637,-80.0,0.0
0.0025,0.0,50.0
0.0010408116820622478,-80.0,0.0
0.0025,0.0,50.0
0.0006410062979657347,80.0,0.0
0.0025,0.0,50.0
0.00015805246224213,80.0,0.0
0.0025,0.0,50.0
0.0007884522160742245,-80.0,0.0
0.0025,0.0,50.0
7.78483705290652e-05,80.0,0.0
0.0025,0.0,50.0
0.001189061832031013,80.0,0.0
0.0025,0.0,50.0
0.0003422000464043302,-80.0,0.0
0.0025,0.0,50.0
0.0019487066794769844,-80.0,0.0
0.0025,0.0,50.0
0.000932696454471981,-80.0,0.0
0.0025,0.0,50.0
0.00017176930277501017,-80.0,0.0
0.0025,0.0,50.0
0.0010334874974521511,-80.0,0.0
0.0025,0.0,50.0
0.0004419333013510842,-80.0,0.0
0.0025,0.0,50.0
0.0004105895992345754,80.0,0.0
0.0025,0.0,50.0
0.001144088177532988,80.0,0.0
0.0025,0.0,50.0
0.0008119191728313257,80.0,0.0
0.0025,0.0,50.0
0.0017935207373142854,-80.0,0.0
0.0025,0.0,50.0
0.0028362919078296065,-80.0,0.0
0.0025,0.0,50.0
0.0008047753944506116,-80.0,0.0
0.0025,0.0,50.0
0.0006982219771518895,80.0,0.0
0.0025,0.0,50.0
0.0009303150393038223,80.0,0.0
0.0025,0.0,50.0
0.0010071327027455612,80.0,0.0
0.0025,0.0,50.0
0.0018084298204367076,80.0,0.0
0.0025,0.0,50.0
0.0014491191011812407,80.0,0.0
0.0025,0.0,50.0
0.0011395221156596895,-80.0,0.0
0.0025,0.0,50.0
0.0021566583561956508,-80.0,0.0
0.0025,0.0,50.0
0.00048771318876071433,-80.0,0.0
0.0025,0.0,50.0
0.0007502453086668759,80.0,0.0
0.0025,0.0,50.0
0.00011032393838271349,-80.0,0.0
0.0025,0.0,50.0
0.0012702616607124264,-80.0,0.0
0.0025,0.0,50.0
0.0011625369185110266,-80.0,0.0
0.0025,0.0,50.0
0.0001613368080622297,80.0,0.0
0.0025,0.0,50.0
0.0004473648060913467,80.0,0.0
0.0025,0.0,50.0
0.0013524360750327398,80.0,0.0
0.0025,0.0,50.0
0.0019851931929346033,80.0,0.0
0.0025,0.0,50.0
0.0013915825249111397,80.0,0.0
0.0025,0.0,50.0
0.0006083380413367137,-80.0,0.0
0.0025,0.0,50.0
0.001550552903292619,-80.0,0.0
0.0025,0.0,50.0
0.0003972798343058216,-80.0,0.0
0.0025,0.0,50.0
0.0004955274222428111,-80.0,0.0
0.0025,0.0,50.0
0.0009181745045560092,-80.0,0.0
0.0025,0.0,50.0
0.00013276210661891931,-80.0,0.0
0.0025,0.0,50.0
0.0007542573090030269,80.0,0.0
0.0025,0.0,50.0
0.0008731998273410581,80.0,0.0
0.0025,0.0,50.0
0.0010998389281452981,-80.0,0.0
0.0025,0.0,50.0
0.0011138023112444127,-80.0,0.0
0.0025,0.0,50.0
0.00016429518756734781,-80.0,0.0
0.0025,0.0,50.0
0.0007085050036695596,-80.0,0.0
0.0025,0.0,50.0
0.0013401303628950232,-80.0,0.0
0.0025,0.0,50.0
0.0005676963109499554,-80.0,0.0
0.0025,0.0,50.0
0.0004814424403850384,80.0,0.0
0.0025,0.0,50.0
0.00025289922459786115,80.0,0.0
0.0025,0.0,50.0
0.00155571491346569,80.0,0.0
0.0025,0.0,50.0
0.000687332547632114,80.0,0.0
0.0025,0.0,50.0
0.0006025444579070769,-80.0,0.0
0.0025,0.0,50.0
0.00038892321585703006,-80.0,0.0
0.0025,0.0,50.0
0.0010678926138571524,-80.0,0.0
0.0025,0.0,50.0
0.0012343724392827105,-80.0,0.0
0.0025,0.0,50.0
0.0005434450291347282,-80.0,0.0
0.0025,0.0,50.0
0.0008529519181262851,80.0,0.0
0.0025,0.0,50.0
0.0005247976873965894,80.0,0.0
0.0025,0.0,50.0
0.000680852526946519,-80.0,0.0
0.0025,0.0,50.0
0.0013217753324067016,-80.0,0.0
0.0025,0.0,50.0
0.00014893567866336484,-80.0,0.0
0.0025,0.0,50.0
0.001649056677203009,80.0,0.0
0.0025,0.0,50.0
0.0015630188353859195,80.0,0.0
0.0025,0.0,50.0
0.00026700290396511095,-80.0,0.0
0.0025,0.0,50.0
0.0001815757093698294,80.0,0.0
0.0025,0.0,50.0
0.00018974758010903084,80.0,0.0
0.0025,0.0,50.0
0.00016708591989315167,-80.0,0.0
