t (us),H_x (2pi MHz),H_z (2pi MHz)
0.00016665750191652954,80.0,0.0
0.0025,0.0,50.0
0.0004470044213370078,80.0,0.0
0.0025,0.0,50.0
0.0003041240761308036,80.0,0.0
0.0025,0.0,50.0
0.000650038224676314,80.0,0.0
0.0025,0.0,50.0
0.0009826502574310024,80.0,0.0
0.0025,0.0,50.0
0.0014051868125484496,80.0,0.0
0.0025,0.0,50.0
0.0009796679622147842,80.0,0.0
0.0025,0.0,50.0
0.00030034151423663155,80.0,0.0
0.0025,0.0,50.0
0.0008887375255865444,-80.0,0.0
0.0025,0.0,50.0
0.0013440439116298537,-80.0,0.0
0.0025,0.0,50.0
0.0017104116798169107,-80.0,0.0
0.0025,0.0,50.0
0.001100533780652873,-80.0,0.0
0.0025,0.0,50.0
0.00020575517419831795,80.0,0.0
0.0025,0.0,50.0
0.0013928249465427697,80.0,0.0
0.0025,0.0,50.0
0.001474419813665897,80.0,0.0
0.0025,0.0,50.0
0.0006530494033402577,80.0,0.0
0.0025,0.0,50.0
0.0008061570511022368,80.0,0.0
0.0025,0.0,50.0
0.002302213249030767,80.0,0.0
0.0025,0.0,50.0
0.003032002042524184,80.0,0.0
0.0025,0.0,50.0
0.0029814307563408885,80.0,0.0
0.0025,0.0,50.0
0.0014397136158619006,80.0,0.0
0.0025,0.0,50.0
0.0003195813202086294,80.0,0.0
0.0025,0.0,50.0
0.0004630740040679024,80.0,0.0
0.0025,0.0,50.0
0.0016273785684055952,80.0,0.0
0.0025,0.0,50.0
0.0013493666805357068,80.0,0.0
0.0025,0.0,50.0
0.00014873249273896047,80.0,0.0
0.0025,0.0,50.0
0.0013256835475358505,-80.0,0.0
0.0025,0.0,50.0
0.0008563210917649478,-80.0,0.0
0.0025,0.0,50.0
0.00012574281468974885,80.0,0.0
0.0025,0.0,50.0
0.0009207581675849294,80.0,0.0
0.0025,0.0,50.0
0.0007109811385943243,80.0,0.0
0.0025,0.0,50.0
0.00017397558919664513,80.0,0.0
0.0025,0.0,50.0
5.842781770457683e-05,-80.0,0.0
0.0025,0.0,50.0
0.000231748818089051,80.0,0.0
0.0025,0.0,50.0
0.0006586332571768873,80.0,0.0
0.0025,0.0,50.0
0.0013633173718676636,80.0,0.0
0.0025,0.0,50.0
0.0012211995599107877,80.0,0.0
0.0025,0.0,50.0
0.0011619663395242724,80.0,0.0
0.0025,0.0,50.0
0.0004241532913984911,80.0,0.0
0.0025,0.0,50.0
0.0007861889241239644,-80.0,0.0
0.0025,0.0,50.0
0.0014149485223105228,-80.0,0.0
0.0025,0.0,50.0
0.0012645382322880364,-80.0,0.0
0.0025,0.0,50.0
0.00017624051229886325,80.0,0.0
0.0025,0.0,50.0
0.001346414437810213,80.0,0.0
0.0025,0.0,50.0
0.0008459436225822471,80.0,0.0
0.0025,0.0,50.0
9.645683959796133e-05,80.0,0.0
0.0025,0.0,50.0
0.00011259657582487651,-80.0,0.0
0.0025,0.0,50.0
0.0012423525105003707,80.0,0.0
0.0025,0.0,50.0
0.0020598836253378065,80.0,0.0
0.0025,0.0,50.0
0.002145049779654087,80.0,0.0
0.0025,0.0,50.0
0.0015882391969950726,80.0,0.0
0.0025,0.0,50.0
0.0009456746770562297,80.0,0.0
0.0025,0.0,50.0
0.0013662025750303898,80.0,0.0
0.0025,0.0,50.0
0.0025100490588449904,80.0,0.0
0.0025,0.0,50.0
0.0030939028639378565,80.0,0.0
0.0025,0.0,50.0
0.0005666615845713818,80.0,0.0
0.0025,0.0,50.0
0.0014865349124855698,-80.0,0.0
0.0025,0.0,50.0
0.0018226215995673092,-80.0,0.0
0.0025,0.0,50.0
0.0005605197096783107,-80.0,0.0
0.0025,0.0,50.0
0.0009295305928471037,80.0,0.0
0.0025,0.0,50.0
0.000924051744529466,80.0,0.0
0.0025,0.0,50.0
0.0015616326773475406,-80.0,0.0
0.0025,0.0,50.0
0.0035314257660974922,-80.0,0.0
0.0025,0.0,50.0
0.0025045456597886334,-80.0,0.0
0.0025,0.0,50.0
0.0010279942143196024,-80.0,0.0
0.0025,0.0,50.0
0.00010401766946080124,80.0,0.0
0.0025,0.0,50.0
0.00020474763053542836,80.0,0.0
0.0025,0.0,50.0
9.744875792629641e-05,-80.0,0.0
0.0025,0.0,50.0
0.00019287488535766757,80.0,0.0
0.0025,0.0,50.0
0.001229055837811609,80.0,0.0
0.0025,0.0,50.0
0.0022636249356590508,80.0,0.0
