t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0019019060599520404,-80.0,0.0
0.0025,0.0,50.0
0.00011680426678245582,80.0,0.0
0.0025,0.0,50.0
0.0013792411161705743,-80.0,0.0
0.0025,0.0,50.0
0.0012270082210301223,-80.0,0.0
0.0025,0.0,50.0
0.0002706505176558286,-80.0,0.0
0.0025,0.0,50.0
0.0018259336048843772,-80.0,0.0
0.0025,0.0,50.0
0.00026662407763502636,-80.0,0.0
0.0025,0.0,50.0
0.00037672289105741716,-80.0,0.0
0.0025,0.0,50.0
0.0006659173507630873,-80.0,0.0
0.0025,0.0,50.0
0.0012960375657488023,-80.0,0.0
0.0025,0.0,50.0
0.0011806095894900484,80.0,0.0
0.0025,0.0,50.0
0.001952047933177573,-80.0,0.0
0.0025,0.0,50.0
0.00119613593639435,-80.0,0.0
0.0025,0.0,50.0
0.0013312164110967368,80.0,0.0
0.0025,0.0,50.0
0.002565597549304176,-80.0,0.0
0.0025,0.0,50.0
0.00044803548899701416,80.0,0.0
0.0025,0.0,50.0
0.0023724402007169218,-80.0,0.0
0.0025,0.0,50.0
0.0003405034697535756,80.0,0.0
0.0025,0.0,50.0
0.0009659177364194601,-80.0,0.0
0.0025,0.0,50.0
0.0023239811122985283,-80.0,0.0
0.0025,0.0,50.0
0.0004279821619280721,80.0,0.0
0.0025,0.0,50.0
0.001086661238852504,-80.0,0.0
0.0025,0.0,50.0
0.002053183691460844,-80.0,0.0
0.0025,0.0,50.0
3.154026384599248e-05,-80.0,0.0
0.0025,0.0,50.0
0.0006972216768822916,-80.0,0.0
0.0025,0.0,50.0
0.001941853480989785,-80.0,0.0
0.0025,0.0,50.0
0.00012723229880568193,80.0,0.0
0.0025,0.0,50.0
0.0018726411137052667,-80.0,0.0
0.0025,0.0,50.0
0.00022018930834745619,-80.0,0.0
0.0025,0.0,50.0
0.00013708317839898068,-80.0,0.0
0.0025,0.0,50.0
0.0017644526942206596,-80.0,0.0
