,index,phi
0,0,0.08352921733818487
1,1,0.342172711542285
2,2,0.5734753529209704
3,3,0.4346065095212561
4,4,0.5180636552151051
5,5,1.0836606911829987
6,6,2.788128442537055
7,7,-1.200874529523426
8,8,-0.07098582020576417
9,9,-1.0135964478449064
10,10,0.7056108060799613
11,11,1.0919933852329635
12,12,-2.0901995173416266
13,13,-0.17328170348550606
14,14,0.08610789536999601
15,15,-1.0059180235936176
16,16,0.10551062032159635
17,17,1.0997195171756917
18,18,-0.9872869341679199
19,19,-0.2175098333544237
20,20,0.835807081796102
21,21,-2.064304975782657
22,22,-1.730786129139872
23,23,-1.285781396905965
24,24,2.1378065190695907
25,25,0.1201811988591574
26,26,-0.45805347962688125
27,27,-0.1692323906211772
28,28,0.04340238321984635
29,29,0.3512100215548873
30,30,0.08625144234644677
