t (us),H_x (2pi MHz),H_z (2pi MHz)
0.002915861152888343,-80.0,0.0
0.0025,0.0,50.0
0.000379546187741383,-80.0,0.0
0.0025,0.0,50.0
0.001405280277197859,80.0,0.0
0.0025,0.0,50.0
0.0010581864598358628,80.0,0.0
0.0025,0.0,50.0
0.0020161293506054593,80.0,0.0
0.0025,0.0,50.0
0.0013368516687069236,-80.0,0.0
0.0025,0.0,50.0
5.730905652336396e-05,80.0,0.0
0.0025,0.0,50.0
0.002890560544267762,-80.0,0.0
0.0025,0.0,50.0
0.0013838147208207648,-80.0,0.0
0.0025,0.0,50.0
0.001528439174709532,80.0,0.0
0.0025,0.0,50.0
0.002926944465904112,-80.0,0.0
0.0025,0.0,50.0
0.0018700357297507183,-80.0,0.0
0.0025,0.0,50.0
0.0009169976107025665,80.0,0.0
0.0025,0.0,50.0
0.0007346288769594203,-80.0,0.0
0.0025,0.0,50.0
0.001196695930155885,-80.0,0.0
0.0025,0.0,50.0
0.003750192450909825,-80.0,0.0
0.0025,0.0,50.0
0.00070860201375848,-80.0,0.0
0.0025,0.0,50.0
0.001698214977685708,80.0,0.0
0.0025,0.0,50.0
0.003342703081470009,-80.0,0.0
0.0025,0.0,50.0
0.0024731398018560135,-80.0,0.0
0.0025,0.0,50.0
0.002863905079625045,-80.0,0.0
0.0025,0.0,50.0
0.0006063036767535332,80.0,0.0
0.0025,0.0,50.0
0.0008249835440152862,80.0,0.0
0.0025,0.0,50.0
0.0034776263340433183,-80.0,0.0
0.0025,0.0,50.0
0.002504735476136038,-80.0,0.0
0.0025,0.0,50.0
0.0017979611842217102,-80.0,0.0
0.0025,0.0,50.0
0.001604735635636589,-80.0,0.0
0.0025,0.0,50.0
0.001634365273252623,-80.0,0.0
0.0025,0.0,50.0
0.002344873164349761,-80.0,0.0
0.0025,0.0,50.0
0.0002500369844044698,80.0,0.0
0.0025,0.0,50.0
0.0011894914462701792,80.0,0.0
0.0025,0.0,50.0
0.0016558975552550099,-80.0,0.0
0.0025,0.0,50.0
0.005320052590914919,-80.0,0.0
0.0025,0.0,50.0
9.949461153878565e-05,-80.0,0.0
0.0025,0.0,50.0
0.0025781329871426683,-80.0,0.0
0.0025,0.0,50.0
0.004233645541950278,-80.0,0.0
0.0025,0.0,50.0
0.002371328919393942,80.0,0.0
0.0025,0.0,50.0
0.0015297319202274787,80.0,0.0
0.0025,0.0,50.0
0.0015310952557038094,80.0,0.0
0.0025,0.0,50.0
0.0031654985798503957,-80.0,0.0
0.0025,0.0,50.0
0.003938332027023579,-80.0,0.0
0.0025,0.0,50.0
0.001251238157027873,80.0,0.0
0.0025,0.0,50.0
0.0015430002748570565,-80.0,0.0
0.0025,0.0,50.0
0.0005230984598618324,80.0,0.0
0.0025,0.0,50.0
0.0013579130838347025,80.0,0.0
0.0025,0.0,50.0
0.0009896335880201202,-80.0,0.0
0.0025,0.0,50.0
0.00032386257026727823,-80.0,0.0
0.0025,0.0,50.0
0.0023143192280574744,-80.0,0.0
0.0025,0.0,50.0
0.0019232540490193254,80.0,0.0
0.0025,0.0,50.0
0.0007907352018490108,-80.0,0.0
0.0025,0.0,50.0
0.0030242016521839672,-80.0,0.0
