t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0020317924375833868,-80.0,0.0
0.0025,0.0,50.0
0.0004825561190205214,-80.0,0.0
0.0025,0.0,50.0
0.0009269520751338524,-80.0,0.0
0.0025,0.0,50.0
0.001476557556566176,-80.0,0.0
0.0025,0.0,50.0
0.00027225047299753885,80.0,0.0
0.0025,0.0,50.0
0.0006105893762256836,-80.0,0.0
0.0025,0.0,50.0
0.0005707061950044924,80.0,0.0
0.0025,0.0,50.0
0.0004831211252501439,80.0,0.0
0.0025,0.0,50.0
0.0011521284245154498,80.0,0.0
0.0025,0.0,50.0
0.001412826289225946,80.0,0.0
0.0025,0.0,50.0
0.000532824946196081,-80.0,0.0
0.0025,0.0,50.0
0.001968805469131176,80.0,0.0
0.0025,0.0,50.0
8.385617647784437e-05,-80.0,0.0
0.0025,0.0,50.0
0.0007019456200757185,-80.0,0.0
0.0025,0.0,50.0
0.0010465960797726272,-80.0,0.0
0.0025,0.0,50.0
0.0002962457110044975,80.0,0.0
0.0025,0.0,50.0
0.0017357072775429053,-80.0,0.0
0.0025,0.0,50.0
0.002383018838909226,-80.0,0.0
0.0025,0.0,50.0
0.0006525900754809637,80.0,0.0
0.0025,0.0,50.0
0.0002209595254426253,-80.0,0.0
0.0025,0.0,50.0
0.0008095395891853606,80.0,0.0
0.0025,0.0,50.0
0.00010015578899041145,-80.0,0.0
0.0025,0.0,50.0
0.002870866096641519,80.0,0.0
0.0025,0.0,50.0
0.00032773345734443595,-80.0,0.0
0.0025,0.0,50.0
0.0018325528741983184,-80.0,0.0
0.0025,0.0,50.0
0.0009077231523186102,80.0,0.0
0.0025,0.0,50.0
0.0009656803969564017,-80.0,0.0
0.0025,0.0,50.0
0.0008834955417317239,-80.0,0.0
0.0025,0.0,50.0
0.0006246663281204454,-80.0,0.0
0.0025,0.0,50.0
0.0004558978721453124,-80.0,0.0
0.0025,0.0,50.0
0.000304323459557843,-80.0,0.0
0.0025,0.0,50.0
0.002183047791510837,80.0,0.0
0.0025,0.0,50.0
0.0010494075455985883,-80.0,0.0
0.0025,0.0,50.0
0.0001753075393266526,80.0,0.0
0.0025,0.0,50.0
0.00012436222599012168,-80.0,0.0
0.0025,0.0,50.0
0.0005752687197068497,-80.0,0.0
0.0025,0.0,50.0
0.001900081213262609,-80.0,0.0
0.0025,0.0,50.0
0.0008837031105664897,-80.0,0.0
0.0025,0.0,50.0
0.0003323509203388606,80.0,0.0
0.0025,0.0,50.0
0.0023520241166181495,-80.0,0.0
0.0025,0.0,50.0
0.0006463495701871683,-80.0,0.0
0.0025,0.0,50.0
5.860724088799852e-05,-80.0,0.0
0.0025,0.0,50.0
0.0005466803082696817,80.0,0.0
0.0025,0.0,50.0
0.00040427659176397784,-80.0,0.0
0.0025,0.0,50.0
1.39345158583111e-05,80.0,0.0
0.0025,0.0,50.0
0.001510318545813091,80.0,0.0
0.0025,0.0,50.0
0.0005528803833740796,80.0,0.0
0.0025,0.0,50.0
0.001999801264872167,-80.0,0.0
0.0025,0.0,50.0
0.0003991406060141031,80.0,0.0
0.0025,0.0,50.0
0.0002893746393941215,80.0,0.0
0.0025,0.0,50.0
0.0018602989507058366,-80.0,0.0
