t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0021481527093867906,-80.0,0.0
0.0025,0.0,50.0
0.00024732670547827034,-80.0,0.0
0.0025,0.0,50.0
0.0013375627984626743,80.0,0.0
0.0025,0.0,50.0
0.00021281414992878805,80.0,0.0
0.0025,0.0,50.0
0.0009330856165607889,-80.0,0.0
0.0025,0.0,50.0
0.002525733016511861,-80.0,0.0
0.0025,0.0,50.0
0.0017554818850292564,-80.0,0.0
0.0025,0.0,50.0
0.0021077484383391987,-80.0,0.0
0.0025,0.0,50.0
0.0010917873135937273,-80.0,0.0
0.0025,0.0,50.0
0.0004711081306274097,80.0,0.0
0.0025,0.0,50.0
0.0009240841294820097,80.0,0.0
0.0025,0.0,50.0
0.00031597764211844403,-80.0,0.0
0.0025,0.0,50.0
0.001777485790426707,-80.0,0.0
0.0025,0.0,50.0
0.0023015509071397234,-80.0,0.0
0.0025,0.0,50.0
0.0016400494166498975,-80.0,0.0
0.0025,0.0,50.0
0.00023587096122385824,80.0,0.0
0.0025,0.0,50.0
0.00026131794692765934,80.0,0.0
0.0025,0.0,50.0
9.672637657248008e-05,-80.0,0.0
0.0025,0.0,50.0
5.484796717921408e-05,80.0,0.0
0.0025,0.0,50.0
2.896588859849927e-05,-80.0,0.0
0.0025,0.0,50.0
0.0003913257068787668,-80.0,0.0
0.0025,0.0,50.0
0.0016038438597651798,-80.0,0.0
0.0025,0.0,50.0
0.0016960448255744752,-80.0,0.0
0.0025,0.0,50.0
0.0011697330599113155,-80.0,0.0
0.0025,0.0,50.0
0.00016462247430037706,-80.0,0.0
0.0025,0.0,50.0
6.143285284852068e-05,80.0,0.0
0.0025,0.0,50.0
0.0007176238054604149,-80.0,0.0
0.0025,0.0,50.0
0.0019015023691626495,-80.0,0.0
0.0025,0.0,50.0
0.0016998250311147612,-80.0,0.0
0.0025,0.0,50.0
0.0007881561626395442,-80.0,0.0
0.0025,0.0,50.0
3.4428810655795217e-06,80.0,0.0
0.0025,0.0,50.0
0.00022907907740785666,-80.0,0.0
0.0025,0.0,50.0
0.002443507388740501,-80.0,0.0
0.0025,0.0,50.0
0.0017441531352171515,-80.0,0.0
0.0025,0.0,50.0
0.001497481315939808,-80.0,0.0
0.0025,0.0,50.0
0.0004775793390409817,-80.0,0.0
0.0025,0.0,50.0
0.0003910852821878048,-80.0,0.0
0.0025,0.0,50.0
0.0006792102946292373,-80.0,0.0
0.0025,0.0,50.0
0.0007893410460923847,-80.0,0.0
0.0025,0.0,50.0
0.0012460405402408095,-80.0,0.0
0.0025,0.0,50.0
0.0021509492864480013,-80.0,0.0
0.0025,0.0,50.0
0.001526406805026204,-80.0,0.0
0.0025,0.0,50.0
0.0003005441920140015,80.0,0.0
0.0025,0.0,50.0
0.0010041147384634518,80.0,0.0
0.0025,0.0,50.0
0.0004952256160551533,80.0,0.0
0.0025,0.0,50.0
0.00040929646685906076,-80.0,0.0
0.0025,0.0,50.0
0.0008444107520704181,-80.0,0.0
0.0025,0.0,50.0
0.0010586129986281643,-80.0,0.0
0.0025,0.0,50.0
0.0009770827831691064,-80.0,0.0
0.0025,0.0,50.0
0.00015621093222364647,-80.0,0.0
0.0025,0.0,50.0
0.0005702500653605793,80.0,0.0
0.0025,0.0,50.0
0.0008356148668524998,80.0,0.0
0.0025,0.0,50.0
0.0007804302500730159,80.0,0.0
0.0025,0.0,50.0
0.0013702184716949627,-80.0,0.0
0.0025,0.0,50.0
0.002101533276261767,-80.0,0.0
0.0025,0.0,50.0
0.0010049290543634566,-80.0,0.0
0.0025,0.0,50.0
0.0018116568983031845,80.0,0.0
0.0025,0.0,50.0
0.0016391298402968876,80.0,0.0
0.0025,0.0,50.0
0.00037094519167279376,80.0,0.0
0.0025,0.0,50.0
0.000882023157417546,-80.0,0.0
0.0025,0.0,50.0
0.0013833242050282656,-80.0,0.0
0.0025,0.0,50.0
0.0009162205601505631,-80.0,0.0
0.0025,0.0,50.0
0.0007647724812767555,-80.0,0.0
0.0025,0.0,50.0
0.00016406205951127677,-80.0,0.0
0.0025,0.0,50.0
4.129551682952458e-05,-80.0,0.0
0.0025,0.0,50.0
8.493307784272136e-05,-80.0,0.0
0.0025,0.0,50.0
0.0001634930257463571,80.0,0.0
0.0025,0.0,50.0
0.00043563023375726897,80.0,0.0
0.0025,0.0,50.0
0.0005996166522774383,80.0,0.0
0.0025,0.0,50.0
0.0007117003778189238,-80.0,0.0
0.0025,0.0,50.0
0.0020433149050599576,-80.0,0.0
