t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0020169530982209515,80.0,0.0
0.0025,0.0,50.0
0.00025180666964158544,-80.0,0.0
0.0025,0.0,50.0
0.0030362412351480858,-80.0,0.0
0.0025,0.0,50.0
0.00029462494651273213,-80.0,0.0
0.0025,0.0,50.0
0.0012263535815535645,-80.0,0.0
0.0025,0.0,50.0
0.005303656181556726,80.0,0.0
0.0025,0.0,50.0
0.003212318837595903,80.0,0.0
0.0025,0.0,50.0
0.0026577057948044746,80.0,0.0
0.0025,0.0,50.0
0.0007048529003719505,-80.0,0.0
0.0025,0.0,50.0
0.000737927295254099,80.0,0.0
0.0025,0.0,50.0
0.0011569552048457286,-80.0,0.0
0.0025,0.0,50.0
0.0013832219752051055,80.0,0.0
0.0025,0.0,50.0
0.0021271905604239422,-80.0,0.0
0.0025,0.0,50.0
0.003961630620122249,-80.0,0.0
0.0025,0.0,50.0
0.003659287776872709,-80.0,0.0
0.0025,0.0,50.0
0.00215288144385501,-80.0,0.0
0.0025,0.0,50.0
0.0012370020523305655,80.0,0.0
0.0025,0.0,50.0
0.0014436941186924594,-80.0,0.0
0.0025,0.0,50.0
0.0009674661819375426,-80.0,0.0
0.0025,0.0,50.0
0.0009311377395729675,-80.0,0.0
0.0025,0.0,50.0
0.0012219490204237982,80.0,0.0
0.0025,0.0,50.0
0.000236455010532456,80.0,0.0
0.0025,0.0,50.0
0.0036028386606433336,80.0,0.0
0.0025,0.0,50.0
0.00010637951380155087,80.0,0.0
0.0025,0.0,50.0
0.0013284820996176728,80.0,0.0
0.0025,0.0,50.0
0.0006352312838465841,80.0,0.0
0.0025,0.0,50.0
0.0005113765235302343,-80.0,0.0
0.0025,0.0,50.0
0.0008415998231588167,-80.0,0.0
0.0025,0.0,50.0
0.0022592551890758253,-80.0,0.0
0.0025,0.0,50.0
0.0005357649731476038,-80.0,0.0
0.0025,0.0,50.0
0.002038018076157783,80.0,0.0
