t (us),H_x (2pi MHz),H_z (2pi MHz)
0.0012793305128763614,-80.0,0.0
0.0025,0.0,50.0
0.0013869716743530956,-80.0,0.0
0.0025,0.0,50.0
0.00021227890407859418,80.0,0.0
0.0025,0.0,50.0
0.0006014113545373268,80.0,0.0
0.0025,0.0,50.0
2.6951853237487843e-08,80.0,0.0
0.0025,0.0,50.0
0.00029449426043294926,-80.0,0.0
0.0025,0.0,50.0
0.0007647595379501806,80.0,0.0
0.0025,0.0,50.0
0.0004587976461872524,80.0,0.0
0.0025,0.0,50.0
0.0017406125099482031,80.0,0.0
0.0025,0.0,50.0
0.0002017177474515286,80.0,0.0
0.0025,0.0,50.0
0.0005760529135890666,-80.0,0.0
0.0025,0.0,50.0
0.0031450802397784954,80.0,0.0
0.0025,0.0,50.0
0.0003268064169182373,-80.0,0.0
0.0025,0.0,50.0
0.003225581015004182,-80.0,0.0
0.0025,0.0,50.0
0.0032141103280713818,-80.0,0.0
0.0025,0.0,50.0
0.0036024081269387183,-80.0,0.0
0.0025,0.0,50.0
0.002110948967587468,80.0,0.0
0.0025,0.0,50.0
0.0013724240798605575,-80.0,0.0
0.0025,0.0,50.0
0.0012332393437557469,-80.0,0.0
0.0025,0.0,50.0
0.0002762862477474599,80.0,0.0
0.0025,0.0,50.0
0.000710941465209017,80.0,0.0
0.0025,0.0,50.0
0.0006226267232595005,-80.0,0.0
0.0025,0.0,50.0
0.0005731774893850521,-80.0,0.0
0.0025,0.0,50.0
0.0004910887229144605,80.0,0.0
0.0025,0.0,50.0
0.0006670027566508407,-80.0,0.0
0.0025,0.0,50.0
0.0024424947302656296,80.0,0.0
0.0025,0.0,50.0
0.0003644969048226443,80.0,0.0
0.0025,0.0,50.0
0.0010871108911677224,80.0,0.0
0.0025,0.0,50.0
0.0006927573523771153,80.0,0.0
0.0025,0.0,50.0
0.003475900211463105,-80.0,0.0
0.0025,0.0,50.0
0.002642738775292014,-80.0,0.0
0.0025,0.0,50.0
0.003871530956868893,-80.0,0.0
0.0025,0.0,50.0
0.0005210084795572922,80.0,0.0
0.0025,0.0,50.0
0.0004108954445001766,-80.0,0.0
0.0025,0.0,50.0
0.0007613022841901826,-80.0,0.0
0.0025,0.0,50.0
0.0009518597994769558,-80.0,0.0
0.0025,0.0,50.0
0.0003155007047026889,80.0,0.0
0.0025,0.0,50.0
0.0002834384914710385,-80.0,0.0
0.0025,0.0,50.0
0.0006492137235565014,80.0,0.0
0.0025,0.0,50.0
0.003739083365731562,-80.0,0.0
0.0025,0.0,50.0
0.001408558324442172,-80.0,0.0
0.0025,0.0,50.0
0.0005275087855619859,80.0,0.0
0.0025,0.0,50.0
0.0003407364253215955,-80.0,0.0
0.0025,0.0,50.0
0.0012956655882546042,80.0,0.0
0.0025,0.0,50.0
0.0010875413611484775,-80.0,0.0
0.0025,0.0,50.0
0.0004304384480527952,80.0,0.0
0.0025,0.0,50.0
0.0012300709465804971,80.0,0.0
0.0025,0.0,50.0
0.0018392559337809349,80.0,0.0
0.0025,0.0,50.0
0.001345290279285641,-80.0,0.0
0.0025,0.0,50.0
0.001288502014124538,80.0,0.0
0.0025,0.0,50.0
0.0017459234272354685,80.0,0.0
