t (us),H_x (2pi MHz),H_z (2pi MHz)
0.00048724586134234877,-80.0,0.0
0.00125,0.0,100.0
0.002472929488359545,80.0,0.0
0.00125,0.0,100.0
0.0011685270734018646,-80.0,0.0
0.00125,0.0,100.0
0.0015756799032733966,-80.0,0.0
0.00125,0.0,100.0
0.0008161429045894763,-80.0,0.0
0.00125,0.0,100.0
0.0007779052342495322,80.0,0.0
0.00125,0.0,100.0
0.0018108305148610846,80.0,0.0
0.00125,0.0,100.0
0.0014978863850442885,-80.0,0.0
0.00125,0.0,100.0
0.0020631175490530775,-80.0,0.0
0.00125,0.0,100.0
7.607987841768579e-05,-80.0,0.0
0.00125,0.0,100.0
0.0006714043334466092,-80.0,0.0
0.00125,0.0,100.0
3.327827083344547e-05,80.0,0.0
0.00125,0.0,100.0
0.0012451030621631455,80.0,0.0
0.00125,0.0,100.0
4.563296097577001e-05,80.0,0.0
0.00125,0.0,100.0
0.001421578558748773,-80.0,0.0
0.00125,0.0,100.0
0.002860496199344566,-80.0,0.0
0.00125,0.0,100.0
0.002186930678535464,-80.0,0.0
0.00125,0.0,100.0
0.002387662369006174,80.0,0.0
0.00125,0.0,100.0
0.0010099628899162608,-80.0,0.0
0.00125,0.0,100.0
0.002356078008342361,-80.0,0.0
0.00125,0.0,100.0
0.0001115437011865032,-80.0,0.0
0.00125,0.0,100.0
0.000807495144949797,-80.0,0.0
0.00125,0.0,100.0
0.0006589384266969623,-80.0,0.0
0.00125,0.0,100.0
0.0005935741603857541,80.0,0.0
0.00125,0.0,100.0
0.002910601729850648,-80.0,0.0
0.00125,0.0,100.0
0.0007183068102597715,-80.0,0.0
0.00125,0.0,100.0
0.0011225573869908267,80.0,0.0
0.00125,0.0,100.0
0.0014861733389880355,-80.0,0.0
0.00125,0.0,100.0
0.0005526257419881045,-80.0,0.0
0.00125,0.0,100.0
0.0008495711300435146,80.0,0.0
0.00125,0.0,100.0
0.001655210021650504,-80.0,0.0
0.00125,0.0,100.0
0.0003249125038845685,-80.0,0.0
0.00125,0.0,100.0
0.002125423124120932,80.0,0.0
0.00125,0.0,100.0
0.0012428909207463986,-80.0,0.0
0.00125,0.0,100.0
0.002750158429076034,-80.0,0.0
0.00125,0.0,100.0
0.0007127903263171411,-80.0,0.0
0.00125,0.0,100.0
0.0001457629679593234,80.0,0.0
0.00125,0.0,100.0
0.0001496413157007477,-80.0,0.0
0.00125,0.0,100.0
0.00027729780917328423,80.0,0.0
0.00125,0.0,100.0
0.00047320591158671267,-80.0,0.0
0.00125,0.0,100.0
8.449401890308614e-05,80.0,0.0
0.00125,0.0,100.0
0.00019954193364578822,80.0,0.0
0.00125,0.0,100.0
0.0014898305905962355,-80.0,0.0
0.00125,0.0,100.0
0.0005083019845289315,-80.0,0.0
0.00125,0.0,100.0
0.001968281508999707,80.0,0.0
0.00125,0.0,100.0
0.0017239880604381385,80.0,0.0
0.00125,0.0,100.0
0.0008963933912704263,-80.0,0.0
0.00125,0.0,100.0
0.001216610045525662,-80.0,0.0
0.00125,0.0,100.0
0.0007250878285882281,80.0,0.0
0.00125,0.0,100.0
0.0018354002146043066,-80.0,0.0
0.00125,0.0,100.0
0.0008924180177774588,-80.0,0.0
